event_id,ts,machine_id,sensor,value,severity
0,2024-06-01 00:00:05.281632925,M010,vibration,3.08,info
1,2024-06-01 00:01:13.375520263,M010,temp,66.75,info
2,2024-06-01 00:01:29.525385871,M009,current,26.84,info
3,2024-06-01 00:01:31.295001128,M017,current,25.25,info
4,2024-06-01 00:01:37.087457371,M001,current,25.6,info
5,2024-06-01 00:02:01.908925063,M018,temp,68.08,info
6,2024-06-01 00:03:05.750728659,M020,vibration,4.09,warning
7,2024-06-01 00:03:07.248473995,M021,pressure,5.69,info
8,2024-06-01 00:03:14.988332391,M012,pressure,6.67,info
9,2024-06-01 00:03:17.870556479,M022,pressure,7.52,warning
10,2024-06-01 00:03:57.671244106,M006,temp,69.82,info
11,2024-06-01 00:04:29.577260936,M002,current,34.47,info
12,2024-06-01 00:04:53.385713231,M007,pressure,5.92,info
13,2024-06-01 00:05:33.358042574,M014,current,22.0,warning
14,2024-06-01 00:05:51.709618722,M001,temp,55.0,info
15,2024-06-01 00:06:01.406418219,M013,vibration,2.84,info
16,2024-06-01 00:06:50.107724497,M016,pressure,4.83,info
17,2024-06-01 00:07:14.328162813,M014,pressure,3.63,critical
18,2024-06-01 00:07:26.003388179,M013,vibration,2.58,info
19,2024-06-01 00:07:41.322801437,M012,vibration,1.4,info
20,2024-06-01 00:07:43.877351703,M015,temp,65.87,info
21,2024-06-01 00:07:57.426985730,M010,vibration,2.02,info
22,2024-06-01 00:08:36.237910532,M020,current,21.05,warning
23,2024-06-01 00:08:50.399373640,M003,pressure,5.49,info
24,2024-06-01 00:09:48.164131259,M018,temp,69.31,info
25,2024-06-01 00:10:23.617602666,M009,temp,65.81,info
26,2024-06-01 00:11:04.700263812,M007,temp,63.48,info
27,2024-06-01 00:11:42.618345270,M003,pressure,5.73,info
28,2024-06-01 00:11:58.068886332,M015,vibration,-0.02,critical
29,2024-06-01 00:12:11.526663265,M012,temp,79.87,warning
30,2024-06-01 00:12:12.505414461,M011,pressure,6.67,info
31,2024-06-01 00:13:20.300607785,M015,vibration,4.18,warning
32,2024-06-01 00:14:34.070557225,M002,pressure,6.9,info
33,2024-06-01 00:15:07.882358786,M018,current,20.25,warning
34,2024-06-01 00:15:30.691917382,M006,pressure,5.75,info
35,2024-06-01 00:15:38.520627682,M006,vibration,2.14,info
36,2024-06-01 00:16:42.740071994,M005,vibration,0.76,warning
37,2024-06-01 00:17:03.848421194,M017,temp,81.11,warning
38,2024-06-01 00:17:33.768983104,M003,temp,62.36,info
39,2024-06-01 00:18:16.940495385,M016,temp,79.86,warning
40,2024-06-01 00:18:18.032709227,M021,current,36.02,info
41,2024-06-01 00:18:27.071906585,M018,current,35.0,info
42,2024-06-01 00:18:52.555287584,M005,temp,74.88,info
43,2024-06-01 00:19:06.905187774,M012,pressure,6.21,info
44,2024-06-01 00:19:35.624486347,M005,pressure,6.04,info
45,2024-06-01 00:20:19.787181421,M018,temp,72.72,info
46,2024-06-01 00:20:20.736020586,M023,current,30.03,info
47,2024-06-01 00:20:28.748794613,M008,pressure,5.45,info
48,2024-06-01 00:20:46.276268684,M024,temp,70.64,info
49,2024-06-01 00:21:37.759866569,M006,temp,69.14,info
50,2024-06-01 00:21:39.605912854,M018,vibration,2.19,info
51,2024-06-01 00:21:51.198159331,M019,current,26.8,info
52,2024-06-01 00:21:59.300444249,M013,current,30.51,info
53,2024-06-01 00:22:05.681494305,M024,current,25.84,info
54,2024-06-01 00:22:32.305745786,M021,pressure,5.65,info
55,2024-06-01 00:22:39.509433146,M006,vibration,1.24,info
56,2024-06-01 00:22:44.286704038,M003,current,32.99,info
57,2024-06-01 00:23:19.906286024,M014,current,37.36,info
58,2024-06-01 00:23:30.731895203,M021,current,28.48,info
59,2024-06-01 00:23:43.658917991,M008,pressure,4.93,info
60,2024-06-01 00:23:43.838279048,M019,temp,53.66,info
61,2024-06-01 00:24:04.506253984,M009,pressure,5.74,info
62,2024-06-01 00:24:46.909339885,M016,temp,90.99,critical
63,2024-06-01 00:25:36.910630075,M011,temp,64.11,info
64,2024-06-01 00:26:00.915020786,M002,temp,65.63,info
65,2024-06-01 00:26:25.696087907,M013,temp,70.12,info
66,2024-06-01 00:27:14.917554352,M021,current,29.32,info
67,2024-06-01 00:27:47.820533965,M024,pressure,6.53,info
68,2024-06-01 00:28:02.569662876,M022,vibration,3.2,info
69,2024-06-01 00:28:03.882541592,M023,vibration,2.58,info
70,2024-06-01 00:29:25.120014629,M010,pressure,7.9,warning
71,2024-06-01 00:30:03.088435316,M014,temp,73.35,info
72,2024-06-01 00:30:11.972693457,M020,pressure,5.77,info
73,2024-06-01 00:30:59.126946911,M001,pressure,6.66,info
74,2024-06-01 00:30:59.240787951,M003,vibration,3.79,info
75,2024-06-01 00:31:52.043947714,M014,vibration,2.37,info
76,2024-06-01 00:32:12.412980114,M003,current,32.76,info
77,2024-06-01 00:33:03.625796041,M017,pressure,5.36,info
78,2024-06-01 00:33:28.708619017,M022,temp,82.53,warning
79,2024-06-01 00:33:48.780277856,M003,vibration,1.03,info
80,2024-06-01 00:33:52.091919931,M001,current,32.35,info
81,2024-06-01 00:34:11.171137588,M002,current,35.1,info
82,2024-06-01 00:34:21.493978843,M006,temp,59.33,info
83,2024-06-01 00:34:32.665114433,M006,temp,73.04,info
84,2024-06-01 00:34:49.987542329,M018,vibration,3.92,info
85,2024-06-01 00:34:59.846477470,M020,current,27.62,info
86,2024-06-01 00:35:11.017068280,M013,vibration,2.59,info
87,2024-06-01 00:35:15.054374524,M016,vibration,3.01,info
88,2024-06-01 00:35:16.086598535,M003,vibration,2.0,info
89,2024-06-01 00:35:33.735265015,M003,temp,58.93,info
90,2024-06-01 00:35:48.505907915,M016,temp,52.64,warning
91,2024-06-01 00:35:58.029549918,M013,current,24.04,info
92,2024-06-01 00:36:00.362091147,M005,current,31.99,info
93,2024-06-01 00:37:45.459245680,M018,current,30.61,info
94,2024-06-01 00:37:45.547338875,M015,pressure,5.88,info
95,2024-06-01 00:38:47.263631100,M022,vibration,1.95,info
96,2024-06-01 00:39:04.793077942,M012,vibration,4.05,warning
97,2024-06-01 00:40:11.443810063,M016,vibration,3.3,info
98,2024-06-01 00:40:27.314921437,M006,pressure,4.95,info
99,2024-06-01 00:40:28.325265280,M022,temp,86.65,critical
100,2024-06-01 00:41:10.194924089,M015,temp,65.49,info
101,2024-06-01 00:41:23.057317380,M001,pressure,6.06,info
102,2024-06-01 00:41:44.511930534,M013,current,33.14,info
103,2024-06-01 00:41:46.527481753,M002,current,25.74,info
104,2024-06-01 00:42:19.458841697,M017,current,34.19,info
105,2024-06-01 00:42:22.755784675,M007,temp,49.99,warning
106,2024-06-01 00:42:40.634953998,M008,temp,63.38,info
107,2024-06-01 00:43:05.438611962,M020,vibration,2.18,info
108,2024-06-01 00:44:14.766948799,M012,current,24.1,info
109,2024-06-01 00:45:18.718994192,M021,temp,62.78,info
110,2024-06-01 00:46:06.207737121,M024,vibration,1.27,info
111,2024-06-01 00:46:42.709325928,M009,current,35.5,info
112,2024-06-01 00:47:22.597004679,M011,temp,64.09,info
113,2024-06-01 00:47:28.751998459,M005,vibration,2.74,info
114,2024-06-01 00:48:17.533392169,M006,temp,69.33,info
115,2024-06-01 00:48:27.861214446,M024,temp,52.53,warning
116,2024-06-01 00:49:07.568303724,M008,temp,51.4,warning
117,2024-06-01 00:49:23.766278292,M018,pressure,6.34,info
118,2024-06-01 00:50:02.806284229,M005,vibration,4.38,warning
119,2024-06-01 00:50:24.801864156,M009,temp,54.99,info
120,2024-06-01 00:50:34.019875928,M017,vibration,3.53,info
121,2024-06-01 00:50:37.223075037,M001,vibration,2.95,info
122,2024-06-01 00:51:20.364669961,M007,temp,75.35,info
123,2024-06-01 00:51:27.824172242,M015,temp,74.5,info
124,2024-06-01 00:51:59.042475747,M024,vibration,3.34,info
125,2024-06-01 00:52:14.542980868,M016,temp,68.1,info
126,2024-06-01 00:52:16.656327604,M011,pressure,6.92,info
127,2024-06-01 00:52:17.979906593,M002,vibration,3.34,info
128,2024-06-01 00:52:33.444919509,M013,pressure,5.79,info
129,2024-06-01 00:52:38.883517631,M021,pressure,5.37,info
130,2024-06-01 00:52:52.135110401,M010,temp,59.26,info
131,2024-06-01 00:53:11.195685754,M013,temp,61.21,info
132,2024-06-01 00:53:13.699864025,M014,vibration,2.62,info
133,2024-06-01 00:53:29.145442824,M019,temp,64.05,info
134,2024-06-01 00:53:57.460592240,M001,current,30.15,info
135,2024-06-01 00:53:59.768282611,M024,temp,72.01,info
136,2024-06-01 00:54:25.329889897,M019,current,25.35,info
137,2024-06-01 00:54:43.458473528,M013,temp,58.75,info
138,2024-06-01 00:55:40.219307933,M022,temp,73.25,info
139,2024-06-01 00:55:45.080995681,M019,vibration,0.55,warning
140,2024-06-01 00:56:17.314988366,M003,pressure,6.31,info
141,2024-06-01 00:56:24.182133028,M002,vibration,1.6,info
142,2024-06-01 00:56:50.212158746,M003,current,36.03,info
143,2024-06-01 00:57:28.099782309,M023,vibration,1.81,info
144,2024-06-01 00:57:42.591502843,M013,temp,68.15,info
145,2024-06-01 00:58:01.489435540,M016,current,29.62,info
146,2024-06-01 00:58:22.520379999,M021,pressure,5.56,info
147,2024-06-01 00:58:30.197292870,M015,pressure,5.4,info
148,2024-06-01 00:58:34.770141402,M011,vibration,1.91,info
149,2024-06-01 00:58:59.236026799,M017,vibration,3.15,info
150,2024-06-01 00:59:01.627777265,M003,vibration,1.57,info
151,2024-06-01 00:59:23.907942689,M005,vibration,4.01,warning
152,2024-06-01 00:59:43.386097921,M006,temp,57.13,info
153,2024-06-01 01:00:07.580567272,M015,vibration,2.31,info
154,2024-06-01 01:00:30.290084404,M022,current,39.3,warning
155,2024-06-01 01:01:36.529382284,M021,vibration,4.32,warning
156,2024-06-01 01:01:40.343339874,M015,pressure,6.22,info
157,2024-06-01 01:01:47.143820241,M001,vibration,2.73,info
158,2024-06-01 01:01:52.569263573,M011,pressure,5.11,info
159,2024-06-01 01:01:57.536435365,M018,pressure,5.98,info
160,2024-06-01 01:02:20.011337136,M022,pressure,6.24,info
161,2024-06-01 01:03:00.795193488,M008,temp,67.75,info
162,2024-06-01 01:03:36.867725456,M002,vibration,0.8,warning
163,2024-06-01 01:04:04.601024221,M005,current,24.5,info
164,2024-06-01 01:04:51.330034330,M006,pressure,5.59,info
165,2024-06-01 01:05:02.091763063,M021,pressure,5.99,info
166,2024-06-01 01:05:43.996091155,M004,temp,56.67,info
167,2024-06-01 01:06:19.416115736,M023,temp,70.26,info
168,2024-06-01 01:06:53.980695431,M004,vibration,3.11,info
169,2024-06-01 01:07:01.539913369,M019,temp,67.16,info
170,2024-06-01 01:07:16.756168254,M014,temp,59.08,info
171,2024-06-01 01:07:57.045121163,M019,temp,42.28,critical
172,2024-06-01 01:07:57.375071748,M024,vibration,-0.02,critical
173,2024-06-01 01:08:19.213679108,M009,vibration,2.46,info
174,2024-06-01 01:08:31.465770630,M013,current,37.53,warning
175,2024-06-01 01:08:40.472697900,M007,current,26.92,info
176,2024-06-01 01:10:07.001135848,M009,pressure,6.26,info
177,2024-06-01 01:10:09.074370162,M018,vibration,2.4,info
178,2024-06-01 01:10:18.120813857,M021,current,29.57,info
179,2024-06-01 01:10:20.469842780,M018,pressure,6.14,info
180,2024-06-01 01:10:54.865219663,M014,vibration,1.8,info
181,2024-06-01 01:11:08.200689255,M003,vibration,2.24,info
182,2024-06-01 01:11:17.747640935,M019,temp,76.59,info
183,2024-06-01 01:11:39.232724400,M010,vibration,2.22,info
184,2024-06-01 01:11:44.266071043,M009,vibration,1.42,info
185,2024-06-01 01:11:59.129984837,M020,temp,51.52,warning
