inspection_id,asset_id,inspection_date,inspector,result,health_score,duration_min,cost_inr
I000001,A0001,2022-02-27,S. Khan,pass,87.9,68,1458
I000002,A0001,2022-08-03,S. Khan,fail,65.9,69,937
I000003,A0001,2022-10-23,M. Iyer,pass,93.3,37,6041
I000004,A0001,2022-12-02,M. Iyer,pass,100.0,58,6222
I000005,A0001,2023-07-09,P. Singh,pass,87.3,47,1119
I000006,A0001,2023-08-20,E. Rao,pass,94.4,63,2759
I000007,A0001,2023-09-13,E. Rao,pass,84.1,41,2617
I000008,A0001,2023-10-25,E. Rao,pass,93.5,48,8574
I000009,A0001,2024-02-28,P. Singh,pass,74.8,51,1617
I000010,A0001,2024-04-09,L. Dsouza,pass,83.8,29,3484
I000011,A0001,2024-04-13,M. Iyer,pass,82.0,53,7027
I000012,A0001,2024-04-21,P. Singh,pass,81.9,44,3954
I000013,A0002,2022-02-15,S. Khan,pass,83.5,35,9877
I000014,A0002,2022-05-12,L. Dsouza,fail,53.2,38,5721
I000015,A0002,2022-08-11,L. Dsouza,fail,62.9,48,510
I000016,A0002,2022-09-09,M. Iyer,repair,81.6,36,1431
I000017,A0002,2023-03-07,S. Khan,pass,77.7,23,3181
I000018,A0002,2023-07-02,P. Singh,pass,81.7,79,5818
I000019,A0002,2023-10-19,M. Iyer,pass,86.5,80,6939
I000020,A0003,2022-01-08,E. Rao,repair,98.7,40,6230
I000021,A0003,2022-01-14,E. Rao,repair,79.7,32,2355
I000022,A0003,2022-01-27,P. Singh,pass,81.4,49,6953
I000023,A0003,2022-02-24,P. Singh,pass,90.6,29,4015
I000024,A0003,2022-04-16,L. Dsouza,pass,95.2,40,4838
I000025,A0003,2022-04-21,E. Rao,pass,73.7,32,1382
I000026,A0003,2022-05-14,M. Iyer,fail,66.5,23,677
I000027,A0003,2022-05-16,P. Singh,pass,87.7,60,2938
I000028,A0003,2022-05-31,S. Khan,pass,82.2,50,3621
I000029,A0003,2022-09-07,P. Singh,repair,83.1,43,4090
I000030,A0003,2022-11-17,S. Khan,pass,82.1,39,1955
I000031,A0003,2022-12-11,S. Khan,pass,74.4,44,2232
I000032,A0003,2023-01-10,L. Dsouza,pass,89.1,32,582
I000033,A0003,2023-03-02,M. Iyer,pass,81.5,14,1557
I000034,A0003,2023-04-01,L. Dsouza,pass,78.9,64,9231
I000035,A0003,2023-05-14,M. Iyer,repair,83.3,44,2548
I000036,A0003,2023-06-18,S. Khan,pass,78.4,61,3627
I000037,A0003,2023-06-23,L. Dsouza,pass,87.8,27,2875
I000038,A0003,2023-07-17,P. Singh,pass,90.1,40,1007
I000039,A0003,2023-08-02,P. Singh,pass,77.8,44,8583
I000040,A0003,2023-09-08,M. Iyer,repair,82.8,59,438
I000041,A0003,2023-09-27,M. Iyer,pass,78.0,24,678
I000042,A0003,2023-09-28,M. Iyer,pass,94.2,55,9022
I000043,A0003,2024-02-03,S. Khan,fail,61.9,22,2649
I000044,A0003,2024-03-13,S. Khan,pass,88.0,73,3560
I000045,A0003,2024-04-19,S. Khan,fail,61.8,39,2221
I000046,A0004,2022-01-18,P. Singh,pass,82.3,55,3634
I000047,A0004,2022-01-30,L. Dsouza,pass,83.1,57,1735
I000048,A0004,2022-02-15,L. Dsouza,pass,77.0,39,9230
I000049,A0004,2022-06-18,E. Rao,pass,86.9,45,2037
I000050,A0004,2022-06-28,E. Rao,repair,94.3,47,4644
I000051,A0004,2022-08-07,E. Rao,pass,73.4,39,2566
I000052,A0004,2022-08-12,S. Khan,repair,79.2,45,4296
I000053,A0004,2022-09-05,E. Rao,pass,75.3,34,2988
I000054,A0004,2022-10-09,L. Dsouza,pass,88.1,59,2744
I000055,A0004,2022-10-23,L. Dsouza,pass,84.6,47,981
I000056,A0004,2022-10-30,P. Singh,pass,92.0,59,1347
I000057,A0004,2022-11-08,S. Khan,pass,90.5,61,2467
I000058,A0004,2022-11-13,E. Rao,repair,88.8,45,3604
I000059,A0004,2022-11-18,P. Singh,pass,77.3,63,774
I000060,A0004,2022-12-25,P. Singh,pass,84.6,25,5418
I000061,A0004,2022-12-26,M. Iyer,repair,93.8,57,2764
I000062,A0004,2023-01-26,S. Khan,pass,99.2,66,2466
I000063,A0004,2023-02-01,S. Khan,pass,74.7,48,2510
I000064,A0004,2023-03-18,M. Iyer,pass,91.0,43,2243
I000065,A0004,2023-03-20,L. Dsouza,pass,97.1,34,2084
I000066,A0004,2023-05-01,M. Iyer,pass,83.9,51,10554
I000067,A0004,2023-06-04,S. Khan,pass,87.0,31,1045
I000068,A0004,2023-06-20,L. Dsouza,pass,100.0,43,3881
I000069,A0004,2023-06-21,E. Rao,pass,91.0,64,1160
I000070,A0004,2023-07-25,E. Rao,pass,78.0,52,3594
I000071,A0004,2023-08-11,P. Singh,pass,83.5,30,5784
I000072,A0004,2023-08-26,E. Rao,pass,79.0,73,1576
I000073,A0004,2023-08-31,E. Rao,pass,88.5,46,4653
I000074,A0004,2023-08-31,P. Singh,repair,82.3,48,991
I000075,A0004,2023-09-02,M. Iyer,pass,78.9,54,2781
I000076,A0004,2023-09-02,E. Rao,pass,85.1,44,2192
I000077,A0004,2023-09-10,P. Singh,pass,86.3,54,6193
I000078,A0004,2023-11-22,M. Iyer,repair,88.7,65,9680
I000079,A0004,2024-02-03,S. Khan,repair,85.8,64,5181
I000080,A0004,2024-02-19,P. Singh,pass,83.2,55,538
I000081,A0004,2024-03-02,S. Khan,pass,91.8,67,5375
I000082,A0004,2024-03-30,P. Singh,fail,59.2,40,611
I000083,A0005,2022-01-01,S. Khan,pass,80.2,37,2143
I000084,A0005,2022-01-09,E. Rao,pass,87.2,72,5192
I000085,A0005,2022-04-11,S. Khan,fail,43.1,38,5042
