timestamp,turbine_id,wind_speed_ms,power_kw,rotor_rpm,gearbox_temp_c,nacelle_temp_c
2024-05-23 18:00:00,T07,6.23,91.7,7.65,23.4,19.1
2024-05-20 00:00:00,T08,5.32,47.5,7.26,26.6,26.6
2024-05-22 15:00:00,T08,7.27,259.2,9.3,26.7,26.7
2024-05-04 11:00:00,T03,5.53,53.8,7.05,33.5,28.2
2024-05-23 07:00:00,T04,7.17,239.5,9.5,37.8,33.5
2024-05-04 18:00:00,T04,3.19,0.0,3.8,21.9,21.8
2024-05-21 23:00:00,T08,5.38,49.6,7.84,27.7,24.8
2024-05-15 13:00:00,T08,6.32,114.1,8.15,29.3,27.6
2024-05-11 09:00:00,T02,2.65,0.0,4.13,28.8,29.8
2024-05-03 10:00:00,T02,3.33,0.1,4.58,33.3,28.6
2024-05-06 10:00:00,T02,16.27,2030.4,18.0,68.9,52.7
2024-05-08 06:00:00,T05,3.49,0.3,4.34,34.0,35.0
2024-05-04 19:00:00,T06,5.3,35.5,8.14,23.3,21.0
2024-05-18 14:00:00,T02,2.27,0.0,2.8,25.1,25.1
2024-05-28 11:00:00,T05,6.27,105.6,8.41,32.5,31.1
2024-05-01 13:00:00,T03,5.47,52.5,7.75,19.8,24.0
2024-05-30 19:00:00,T01,2.38,0.0,3.78,22.2,20.4
2024-05-15 20:00:00,T02,4.87,17.4,5.71,22.0,26.4
2024-05-10 20:00:00,T08,9.82,1175.2,13.3,34.4,32.5
2024-05-26 23:00:00,T05,6.95,158.4,9.32,28.3,26.9
2024-05-11 18:00:00,T05,8.06,366.6,11.17,25.4,23.3
2024-05-30 00:00:00,T02,3.79,1.6,5.63,29.6,29.8
2024-05-18 10:00:00,T01,6.74,135.2,9.61,31.0,28.3
2024-05-23 10:00:00,T04,2.18,0.0,3.71,25.8,31.2
2024-05-24 19:00:00,T06,3.97,2.6,5.15,20.4,19.1
2024-05-14 10:00:00,T05,3.64,0.8,5.15,29.7,29.8
2024-05-20 13:00:00,T08,7.14,240.7,9.86,27.1,26.3
2024-05-12 07:00:00,T03,,587.3,11.7,44.4,40.6
2024-05-05 07:00:00,T06,0.78,0.0,1.56,33.9,34.6
2024-05-08 23:00:00,T07,2.79,0.0,3.63,27.0,28.5
2024-05-06 10:00:00,T05,3.61,0.7,4.9,32.9,31.6
2024-05-07 10:00:00,T04,4.07,4.0,3.79,32.1,31.4
2024-05-06 09:00:00,T08,4.58,13.6,5.76,31.0,32.7
2024-05-13 14:00:00,T01,13.68,2089.2,17.55,58.6,47.0
2024-05-29 07:00:00,T01,5.2,30.1,6.62,34.2,32.0
2024-05-20 10:00:00,T03,3.92,2.5,4.12,31.3,33.2
2024-05-30 04:00:00,T02,9.89,844.0,13.38,51.2,42.3
2024-05-26 08:00:00,T03,10.55,1614.2,14.81,60.9,50.2
2024-05-22 00:00:00,T02,4.1,3.9,4.28,28.9,29.9
2024-05-07 09:00:00,T06,5.23,33.0,7.4,30.6,32.2
2024-05-04 15:00:00,T08,3.6,0.7,4.55,23.0,24.9
2024-05-08 09:00:00,T08,4.43,10.1,5.71,30.3,31.3
2024-05-07 23:00:00,T08,4.4,9.6,5.77,23.9,27.8
2024-05-05 10:00:00,T04,2.41,0.0,3.05,33.5,33.7
2024-05-06 16:00:00,T02,2.99,0.0,3.28,25.4,21.8
2024-05-19 04:00:00,T06,3.46,0.3,4.4,35.9,30.2
2024-05-16 00:00:00,T04,4.5,11.3,5.3,26.7,25.2
2024-05-12 00:00:00,T08,2.33,0.0,3.71,30.2,29.1
2024-05-17 18:00:00,T03,2.04,0.0,3.49,20.5,20.4
2024-05-19 17:00:00,T07,3.0,0.0,4.72,18.6,22.0
2024-05-18 01:00:00,T01,7.24,201.4,9.57,30.3,29.4
2024-05-02 10:00:00,T02,1.85,0.0,3.58,30.8,29.0
2024-05-13 17:00:00,T06,6.3,89.1,7.45,24.8,20.5
2024-05-10 02:00:00,T06,5.57,50.2,6.99,33.9,31.9
2024-05-13 23:00:00,T03,5.33,41.8,5.87,28.4,27.0
2024-05-27 16:00:00,T06,6.33,106.7,9.22,25.2,23.9
2024-05-28 11:00:00,T07,6.66,131.9,7.55,30.9,28.1
2024-05-20 06:00:00,T07,7.23,226.7,9.8,37.9,38.9
2024-05-02 13:00:00,T04,7.62,342.2,10.2,34.3,32.7
2024-05-15 12:00:00,T04,9.94,1077.5,14.18,42.7,36.1
2024-05-14 00:00:00,T08,6.51,151.7,7.82,32.5,28.0
2024-05-18 08:00:00,T05,5.01,24.5,6.34,33.6,32.2
2024-05-08 23:00:00,T04,7.98,464.6,9.38,32.2,32.8
2024-05-27 20:00:00,T06,4.23,5.2,5.39,21.7,19.4
2024-05-01 04:00:00,T02,3.9,2.0,5.69,35.6,35.4
2024-05-01 20:00:00,T02,3.12,0.0,3.99,23.1,23.9
2024-05-15 17:00:00,T06,8.73,534.5,11.17,32.5,29.4
2024-05-27 02:00:00,T04,8.9,762.8,11.92,45.8,35.0
2024-05-22 14:00:00,T06,1.15,0.0,1.49,25.9,28.5
2024-05-05 07:00:00,T05,3.91,2.2,5.34,29.6,31.9
2024-05-23 03:00:00,T03,8.5,554.6,12.09,44.2,38.4
2024-05-15 17:00:00,T01,3.71,0.9,4.97,20.8,22.6
2024-05-18 04:00:00,T02,5.63,51.4,7.94,35.4,35.8
2024-05-09 09:00:00,T05,3.17,0.0,3.73,33.0,34.0
2024-05-14 14:00:00,T02,4.29,6.2,6.35,21.1,25.0
2024-05-08 11:00:00,T04,2.85,0.0,3.15,29.3,30.6
2024-05-25 21:00:00,T02,5.89,60.4,8.19,21.9,20.8
2024-05-14 01:00:00,T04,3.49,0.4,4.97,28.8,31.7
2024-05-26 05:00:00,T05,2.86,0.0,4.34,35.2,33.7
2024-05-18 04:00:00,T08,1.65,0.0,2.63,30.2,31.5
2024-05-28 18:00:00,T08,5.09,31.2,5.96,24.1,22.8
2024-05-08 12:00:00,T08,8.58,559.7,11.8,38.4,36.1
2024-05-27 03:00:00,T03,5.31,40.0,6.32,30.1,32.0
2024-05-06 20:00:00,T02,0.86,0.0,0.74,21.1,25.3
2024-05-08 04:00:00,T01,7.07,184.9,8.28,41.9,34.5
2024-05-27 13:00:00,T05,4.47,9.7,5.57,29.9,26.7
2024-05-17 11:00:00,T02,4.94,21.0,7.71,30.8,25.3
2024-05-29 00:00:00,T06,1.51,0.0,2.02,32.5,29.5
2024-05-28 14:00:00,T07,8.39,449.0,10.17,34.3,28.5
2024-05-11 19:00:00,T02,4.66,12.5,5.62,22.7,22.3
2024-05-22 12:00:00,T07,3.85,1.7,4.83,28.3,27.3
2024-05-19 17:00:00,T08,4.32,7.0,6.61,27.8,26.2
2024-05-12 17:00:00,T07,2.35,0.0,2.72,22.1,21.9
2024-05-30 20:00:00,T06,11.09,1619.9,14.83,49.2,39.9
2024-05-03 22:00:00,T06,8.53,463.6,11.13,31.8,30.6
2024-05-27 06:00:00,T07,6.09,81.7,7.75,38.7,34.2
2024-05-05 04:00:00,T02,6.27,91.2,7.86,32.4,31.4
2024-05-18 14:00:00,T01,9.2,624.6,11.3,37.2,29.9
2024-05-22 13:00:00,T06,1.31,0.0,2.16,28.0,26.5
2024-05-25 22:00:00,T03,7.41,287.8,8.84,31.6,27.8
2024-05-17 16:00:00,T05,7.76,329.0,9.35,24.3,23.2
2024-05-27 15:00:00,T02,0.43,0.0,1.89,26.7,25.2
2024-05-08 05:00:00,T02,10.01,964.1,13.13,49.2,42.8
