machine_type,air_temp_k,process_temp_k,rot_speed_rpm,torque_nm,tool_wear_min,failure
L,301.23,309.4,1360.0,21.89,79.3,0
H,298.62,309.45,1498.0,43.76,118.5,0
L,301.74,312.2,1575.0,35.68,29.4,0
L,296.58,306.78,1438.0,57.39,124.5,0
M,295.22,304.04,1343.0,43.48,196.8,0
L,294.61,303.79,1455.0,37.58,236.8,1
L,299.22,310.89,1765.0,28.32,38.0,0
M,299.9,310.24,1577.0,31.87,141.1,1
M,298.53,308.01,1886.0,57.74,198.6,1
H,296.69,306.52,1316.0,20.16,129.0,1
L,297.92,308.92,1665.0,62.61,71.9,1
L,295.37,305.21,1900.0,26.95,125.6,1
M,297.71,308.02,1394.0,52.26,97.8,0
M,296.76,307.23,1236.0,52.66,234.6,1
H,298.39,310.47,1497.0,37.05,126.7,0
L,300.37,309.67,1531.0,45.56,137.6,1
M,298.66,308.6,1395.0,49.77,157.2,0
L,298.13,305.88,1878.0,35.38,114.1,1
L,296.7,306.43,1679.0,39.47,63.9,1
H,301.25,311.76,1517.0,40.81,22.2,0
H,298.29,308.47,1633.0,29.64,28.0,0
H,298.33,308.42,1360.0,38.06,136.4,0
L,295.09,306.25,1367.0,52.6,157.6,0
H,296.19,305.06,1789.0,46.28,78.2,0
H,299.08,307.98,1608.0,36.93,217.1,0
H,295.76,305.89,1562.0,29.43,6.6,0
M,296.52,307.45,1226.0,42.92,43.5,0
L,300.61,310.57,1271.0,34.27,4.8,1
L,299.32,308.47,1530.0,23.78,185.4,0
L,296.68,305.31,1515.0,37.71,165.2,0
L,296.03,306.5,1591.0,33.62,3.1,0
L,295.15,306.15,1350.0,36.68,127.1,0
M,298.22,308.23,1599.0,29.59,223.3,0
L,301.44,309.93,1406.0,32.08,189.8,0
H,300.14,308.29,1576.0,25.4,65.7,0
L,296.33,307.86,1547.0,58.66,33.0,1
L,299.23,308.49,1707.0,40.37,132.5,0
L,300.02,308.53,1525.0,28.94,141.8,0
H,297.31,308.34,1420.0,30.14,101.1,0
L,297.98,307.98,1177.0,41.69,113.8,1
L,298.53,309.72,1206.0,24.17,60.0,1
L,296.33,308.6,1568.0,32.05,247.5,1
L,292.33,302.47,1576.0,54.4,133.9,0
M,294.7,303.69,1412.0,27.65,234.7,1
H,297.63,307.15,1434.0,45.76,98.5,0
L,298.75,308.09,1675.0,30.4,19.6,1
H,296.42,306.92,1533.0,45.68,142.2,0
M,298.83,310.82,1459.0,49.29,186.6,0
H,296.14,305.51,1416.0,29.25,44.9,0
L,297.0,306.61,1612.0,41.12,73.9,1
M,297.98,308.5,1864.0,50.81,77.5,1
M,297.37,307.2,1465.0,54.0,48.7,0
M,300.61,311.59,1488.0,51.63,247.5,1
L,302.31,312.28,1700.0,51.93,84.1,0
H,298.36,306.72,1260.0,35.0,33.5,0
H,299.11,309.66,1494.0,45.7,10.3,0
M,297.17,305.2,1453.0,37.86,109.9,0
H,296.48,306.02,1473.0,53.65,100.0,0
L,295.89,307.43,1375.0,38.6,244.4,1
L,294.81,305.0,1546.0,35.62,25.9,0
M,300.37,309.97,1713.0,38.55,71.7,1
M,300.29,312.99,1569.0,32.2,171.7,0
M,298.7,308.89,1469.0,50.29,195.1,1
M,299.09,309.7,1466.0,55.79,82.7,1
M,299.06,309.51,1394.0,28.47,7.2,0
M,297.63,307.89,1556.0,59.25,86.6,1
M,297.65,306.33,1482.0,56.47,9.9,0
L,297.7,308.25,1539.0,25.44,149.4,0
L,300.8,310.92,1449.0,43.41,8.6,0
L,297.84,308.68,1474.0,43.94,245.2,1
H,298.79,311.32,1620.0,25.84,86.5,0
L,299.35,309.47,1980.0,40.95,213.6,1
M,297.98,309.14,1290.0,45.18,208.9,1
L,297.11,307.44,1593.0,40.25,91.3,0
L,292.68,302.1,1494.0,40.66,195.2,0
L,297.65,306.64,1481.0,40.1,231.6,1
L,300.34,309.43,1587.0,47.87,171.5,1
H,294.97,305.31,1773.0,21.54,51.6,0
H,296.33,304.4,1382.0,38.81,210.3,0
L,298.51,308.65,1548.0,46.13,3.7,1
L,302.16,312.6,1559.0,38.18,204.0,1
H,298.41,307.89,1656.0,41.5,73.3,1
L,300.52,310.88,1319.0,38.6,138.4,1
H,299.52,308.55,1529.0,33.21,179.1,0
L,295.84,305.09,1516.0,41.38,225.9,0
L,299.86,308.83,1482.0,42.99,174.7,1
L,296.82,306.59,1612.0,36.67,173.7,0
L,296.46,306.73,1348.0,31.72,211.8,1
H,297.28,306.48,1280.0,37.37,90.4,0
L,297.3,307.49,1440.0,49.7,133.2,0
M,297.34,307.74,1720.0,21.88,114.8,0
L,296.83,306.05,1200.0,59.88,137.3,1
L,299.5,309.2,1245.0,28.9,245.1,1
M,297.68,308.98,1406.0,38.09,241.9,1
