loan_id,age,annual_income,employment_years,credit_score,loan_amount,loan_term_months,num_existing_loans,debt_to_income,interest_rate,home_ownership,loan_purpose,region,prior_default,collection_calls,default
LN00001,47,124000.0,8.3,757,18600.0,36,1,19.4,12.33,Own,Car,Central,No,1,0
LN00002,43,97200.0,5.0,677,26500.0,12,0,18.9,15.87,Own,Business,East,Yes,0,0
LN00003,39,119100.0,5.1,591,16900.0,48,2,37.3,18.65,Rent,Personal,West,No,0,0
LN00004,21,44300.0,5.8,661,31800.0,36,0,34.5,13.62,Rent,Personal,South,No,1,0
LN00005,45,123900.0,2.3,674,23500.0,36,2,20.7,14.0,Rent,Home,South,No,1,0
LN00006,21,26300.0,2.2,721,51300.0,48,3,27.2,12.33,Mortgage,Personal,South,No,0,0
LN00007,51,67900.0,2.1,716,16100.0,24,2,19.0,12.95,Mortgage,Car,South,No,0,0
LN00008,47,73200.0,7.2,668,25800.0,36,3,37.7,16.57,Own,Car,North,No,5,1
LN00009,50,80300.0,3.6,564,24600.0,48,3,32.8,16.98,Mortgage,Education,South,No,0,0
LN00010,50,76300.0,3.5,705,102200.0,36,5,47.1,13.6,Rent,Business,West,No,0,0
LN00011,44,54800.0,5.3,611,35000.0,24,2,34.8,17.15,Own,Personal,East,No,0,0
LN00012,34,48400.0,5.8,608,30300.0,24,0,21.9,14.71,Rent,Personal,East,No,0,0
LN00013,36,70600.0,3.2,650,8900.0,36,2,45.6,15.03,Mortgage,Personal,South,No,8,1
LN00014,58,52400.0,5.7,722,36100.0,48,0,30.9,14.06,Rent,Personal,North,Yes,2,0
LN00015,33,28200.0,1.8,736,19000.0,12,0,47.8,13.44,Mortgage,Business,Central,No,0,0
LN00016,37,160900.0,6.5,824,47800.0,48,2,27.5,9.15,Own,Personal,South,No,4,1
LN00017,31,50900.0,6.0,663,50100.0,60,0,63.2,14.52,Rent,Personal,South,No,1,0
LN00018,34,104500.0,12.5,765,17300.0,36,0,23.9,14.2,Mortgage,Car,West,No,0,0
