customer_id,enroll_date,year_birth,education,marital_status,income,kids_home,teens_home,recency,spend_wine,spend_fruits,spend_meat,spend_fish,spend_sweets,spend_gold,web_purchases,catalog_purchases,store_purchases,web_visits_month,accepted_cmp1,accepted_cmp2,accepted_cmp3,accepted_cmp4,accepted_cmp5,complain,responded
CMK00001,2023-02-22,1995,Graduation,Married,26800.0,0,1,32,193.24,25.92,150.91,38.9,20.29,48.87,1,1,3,4,0,0,1,1,1,0,1
CMK00002,2023-02-16,1968,PhD,Married,59600.0,0,0,69,358.96,43.85,251.38,27.94,71.0,31.19,2,3,4,5,0,0,0,1,0,0,0
CMK00003,2023-12-12,1995,Graduation,Widow,62000.0,0,0,79,506.62,69.13,319.77,106.52,39.78,49.84,1,4,5,6,0,0,0,0,0,0,0
CMK00004,2022-10-03,1957,Graduation,Single,25300.0,0,2,54,200.42,19.11,122.14,39.2,19.21,43.73,4,3,4,2,0,0,0,0,1,0,0
CMK00005,2023-06-19,1997,Master,Together,50300.0,1,0,61,405.01,43.46,240.42,49.88,54.79,68.8,4,3,5,5,0,0,0,0,1,0,0
CMK00006,2022-12-21,1976,Master,Together,52100.0,1,0,99,314.48,45.66,238.53,51.3,37.74,44.82,0,4,6,0,0,0,0,0,0,0,0
CMK00007,2022-12-08,1955,Master,Together,45300.0,1,1,39,460.48,63.26,196.5,56.39,37.21,48.97,6,4,5,10,0,1,0,1,1,0,0
CMK00008,2023-04-18,1952,Graduation,Single,53200.0,2,0,96,437.69,49.81,139.95,49.39,39.96,53.17,2,4,3,2,0,0,0,0,0,0,0
CMK00009,2024-02-03,1992,PhD,Married,57000.0,2,1,6,603.7,82.75,306.33,61.55,56.43,82.2,3,3,4,3,0,1,1,0,0,0,0
CMK00010,2024-09-07,1956,Graduation,Married,27100.0,1,1,57,139.45,19.77,150.23,9.9,22.48,43.75,6,0,3,8,1,0,0,0,0,0,0
CMK00011,2023-12-29,1952,Graduation,Single,59800.0,1,2,21,723.37,94.0,259.1,67.61,68.84,116.57,4,5,10,2,0,0,1,0,0,0,0
CMK00012,2024-10-25,1965,Graduation,Together,89500.0,0,2,1,559.27,65.19,357.07,59.93,46.83,87.71,4,7,4,4,0,0,0,1,0,0,0
CMK00013,2023-06-16,1964,Graduation,Married,23900.0,0,0,81,260.43,35.55,76.56,58.76,16.8,37.94,2,4,1,4,0,0,0,0,0,0,0
CMK00014,2023-01-21,1963,Master,Married,70500.0,1,1,47,395.91,47.34,159.91,42.3,35.19,83.43,5,7,5,3,0,0,0,0,0,0,0
CMK00015,2024-07-13,1980,PhD,Married,80400.0,0,1,8,299.88,57.15,260.14,53.37,27.05,49.77,5,5,10,5,1,0,0,0,1,0,0
CMK00016,2024-06-26,1990,Graduation,Married,12700.0,0,0,27,131.77,23.23,56.9,25.35,17.24,30.09,5,1,5,4,0,0,0,0,0,0,0
CMK00017,2023-01-22,1955,Graduation,Together,47400.0,1,0,69,300.57,75.2,238.64,67.28,27.63,46.49,0,6,5,4,0,0,0,0,0,0,0
CMK00018,2024-07-16,1972,Basic,Divorced,42900.0,1,1,35,232.59,23.0,100.03,38.26,13.72,56.82,2,4,4,2,0,0,0,0,1,0,0
CMK00019,2023-03-28,1998,PhD,Together,27400.0,0,1,21,166.8,45.09,207.83,41.87,26.06,39.83,4,0,9,8,0,0,0,0,0,0,0
CMK00020,2024-03-26,1988,PhD,Married,,2,2,61,315.24,28.0,127.32,27.51,37.11,49.04,3,3,4,4,0,0,0,0,0,0,0
CMK00021,2024-08-19,1979,Master,Married,27300.0,0,1,29,277.13,46.15,145.75,59.74,12.47,41.92,2,1,4,4,0,1,0,1,0,0,0
CMK00022,2023-02-22,1959,Master,Married,33300.0,0,0,23,409.9,60.73,220.9,31.92,34.54,19.81,4,2,3,5,0,1,0,0,0,0,0
CMK00023,2022-11-05,1960,PhD,Together,36900.0,1,0,69,311.94,40.36,200.5,41.82,31.73,29.32,4,4,4,2,0,0,1,1,0,0,0
CMK00024,2022-09-28,1986,Graduation,Single,16200.0,1,0,57,229.65,53.44,64.72,34.44,21.71,37.27,3,0,4,5,0,0,0,0,0,0,0
CMK00025,2023-06-09,1989,PhD,Divorced,28700.0,2,2,79,337.29,43.42,109.42,36.27,38.9,47.81,4,2,2,0,0,0,0,0,0,0,0
