AT,V,AP,RH,PE
32.27,62.9,1022.72,93.71,421.37
31.94,71.15,1015.86,45.62,417.67
30.39,66.95,1018.97,39.47,420.28
11.15,26.45,1011.56,98.2,467.56
4.7,30.43,1006.61,91.74,474.77
35.13,69.11,1026.56,32.92,410.56
23.48,56.63,1015.51,41.38,440.62
2.09,25.0,1019.33,86.3,482.0
33.86,72.48,1021.41,46.6,417.01
36.47,66.6,1024.67,59.8,409.16
12.02,41.55,1016.32,52.85,462.92
30.48,62.01,1003.98,85.24,429.02
4.88,25.0,1016.53,46.64,475.7
17.34,35.24,1009.91,76.05,451.16
30.62,52.73,1011.69,80.55,424.37
16.31,46.83,1019.6,44.57,464.08
20.12,40.46,1014.87,79.67,449.51
6.1,25.0,1011.44,45.24,473.62
30.49,64.59,1012.46,97.9,427.25
19.43,46.29,1016.1,96.0,447.75
10.69,36.98,1021.6,50.97,461.14
29.18,52.45,1021.05,30.27,430.89
36.27,57.86,1004.71,25.03,415.32
20.84,42.77,1016.42,60.98,450.89
27.8,64.28,1015.21,66.03,431.48
36.75,71.07,1017.61,56.4,412.27
3.05,25.04,1017.63,25.89,479.91
22.96,54.4,1017.06,90.71,445.41
35.86,70.98,1019.37,88.76,414.08
6.11,27.85,1014.63,92.19,469.76
9.81,30.97,1020.52,47.37,467.04
21.26,50.12,1025.08,60.57,450.77
27.28,59.49,1011.1,74.09,435.35
21.35,45.05,1006.29,93.4,449.05
21.17,52.28,1011.42,81.75,444.01
3.8,25.0,1013.24,29.89,478.31
27.87,57.91,1011.64,46.45,431.43
13.22,36.23,1008.02,77.17,461.14
4.59,29.92,1009.54,89.96,478.65
35.55,68.68,1017.65,51.67,413.78
25.09,61.51,1018.93,27.74,438.43
17.95,38.03,1008.04,57.24,454.06
27.64,61.53,1012.17,64.88,430.45
18.73,35.92,1004.7,90.55,453.33
6.37,27.54,1008.92,32.54,471.25
23.16,48.58,1014.11,50.32,439.56
28.14,56.07,1010.68,36.72,431.8
28.05,52.46,1012.53,44.45,436.49
21.3,48.74,1004.84,65.97,437.39
34.5,71.27,1011.83,86.88,416.32
35.1,57.91,1003.1,83.27,424.5
32.62,64.52,1013.0,90.31,422.46
15.01,40.84,1012.71,87.88,462.02
11.37,38.11,1007.69,72.67,460.29
20.54,49.9,1011.76,78.4,445.33
24.9,47.64,1014.45,28.55,442.65
7.62,34.97,1015.71,70.05,475.56
21.58,44.08,1025.6,46.49,444.62
17.36,46.11,1022.8,59.89,447.02
2.06,25.0,1010.67,46.42,479.09
16.66,38.65,1024.29,34.02,453.79
16.0,35.74,1014.35,66.73,456.73
35.72,68.48,1028.4,43.58,409.2
3.91,32.2,1015.67,63.69,473.0
34.5,71.81,1010.25,64.58,423.28
33.79,63.51,1016.69,39.77,412.89
22.99,55.64,1013.66,33.32,442.1
8.55,40.3,1022.0,48.75,471.54
29.7,73.92,1011.62,65.61,426.05
7.65,25.0,1010.94,71.52,470.43
13.22,41.48,999.3,50.44,454.14
25.32,59.66,1011.62,72.5,431.36
16.88,37.64,1009.33,56.45,456.82
18.13,33.13,1009.39,32.04,452.93
12.61,43.82,1019.9,32.51,457.74
3.3,25.0,1018.14,60.53,480.26
14.63,29.52,1013.53,36.31,465.72
30.93,56.45,1012.3,63.57,425.04
31.06,67.39,1008.32,76.44,425.49
4.84,38.06,1006.99,33.18,474.08
21.35,54.53,1016.53,59.93,447.52
14.38,33.71,1014.81,79.67,462.61
15.96,48.73,1006.7,56.95,459.18
36.58,59.84,1012.73,68.41,409.34
30.32,67.92,1011.21,42.13,424.47
19.74,52.17,1012.82,41.76,450.46
19.76,57.4,1022.88,39.26,440.54
34.09,73.32,1008.67,65.73,418.8
15.13,46.79,1021.26,90.54,451.13
29.37,61.31,1019.25,97.13,432.06
27.53,55.98,1013.47,46.34,437.54
27.81,58.58,1018.66,95.37,429.43
17.95,55.62,1015.83,92.73,457.36
25.99,52.38,1011.82,84.83,432.88
31.31,63.17,1002.36,31.11,426.46
12.35,33.26,1005.17,72.92,461.95
28.71,63.78,1007.11,80.94,426.53
18.87,48.37,1010.82,92.27,443.68
20.7,60.34,1012.68,59.83,437.59
18.27,57.66,1021.34,37.59,450.81
15.12,46.86,1013.62,73.75,457.97
28.33,64.59,1023.95,45.86,441.25
15.72,40.16,1020.71,69.75,450.76
8.35,25.0,1020.1,48.55,472.78
29.57,62.05,1013.13,39.54,431.29
15.99,41.61,1014.19,26.99,456.08
22.27,43.69,1017.88,96.98,449.36
36.38,72.25,1011.91,53.93,404.48
24.67,59.79,1014.32,54.8,435.33
20.35,42.36,1003.75,84.89,445.75
11.93,40.79,1017.44,32.55,467.61
26.82,59.54,1016.18,62.38,432.14
35.61,66.57,1011.21,58.21,413.92
26.79,57.7,1022.41,71.03,435.61
28.95,64.69,1023.69,45.9,426.62
13.14,36.15,1016.75,29.19,459.38
12.97,36.62,1009.93,57.97,455.71
14.52,47.15,1016.84,53.9,463.68
18.76,48.74,1015.69,96.72,448.53
33.26,69.65,1019.39,41.15,425.67
18.32,41.74,1011.5,82.78,453.79
8.17,34.28,1017.25,49.51,473.16
20.66,57.16,1018.18,58.48,447.65
11.09,28.61,1017.01,39.41,472.28
24.26,43.44,1016.39,93.36,435.67
13.85,33.45,1013.9,30.87,470.14
35.3,68.58,1010.94,84.31,418.07
17.29,37.21,1007.17,50.16,450.09
22.39,40.46,1000.77,63.78,447.42
22.46,60.65,1001.15,58.03,437.33
16.48,39.54,1008.93,48.73,459.0
36.23,65.78,1010.37,55.74,411.57
3.51,25.0,1020.99,33.22,479.89
28.03,64.26,1016.8,47.06,432.75
11.25,25.11,1008.74,53.9,457.61
4.13,32.06,1010.66,71.99,480.25
8.28,33.56,1009.09,32.59,469.1
28.28,60.45,1008.53,54.65,431.69
33.8,65.86,1025.04,28.84,418.68
29.14,66.17,1008.7,95.14,429.81
11.97,32.07,1015.6,32.85,465.29
19.38,48.47,1011.52,91.65,447.65
6.15,25.0,1006.2,77.69,474.06
16.69,40.43,1012.02,75.85,461.82
11.02,43.61,1003.46,68.68,462.8
3.11,29.36,1011.9,51.04,474.81
12.19,30.17,1018.13,97.4,467.67
34.49,62.93,1006.9,32.2,413.41
