spindle_rpm,feed_rate_mmpm,cut_depth_mm,power_kw,vibration_mm_s,coolant_lpm,tool_temp_c
2860,202,0.49,7.78,3.06,20.3,42.31
1373,428,3.6,20.04,6.28,29.1,61.35
3031,237,0.36,12.23,3.17,14.1,47.21
1067,652,5.63,27.77,8.64,29.2,73.22
1484,383,3.33,15.92,6.43,17.2,66.33
715,0,0.0,0.0,0.37,0.0,22.23
3090,184,0.65,10.68,2.33,17.8,50.93
3123,205,0.44,7.41,1.5,19.0,46.4
3221,210,0.4,9.98,1.47,12.0,49.46
881,584,5.68,29.01,7.61,30.2,79.21
2952,238,0.95,5.49,2.64,15.5,47.26
1195,621,5.75,26.51,7.55,31.9,80.85
1353,367,3.81,22.22,5.8,28.5,65.16
826,0,0.0,2.85,0.06,2.9,23.59
2938,235,0.78,6.69,2.44,19.6,53.4
3137,135,0.31,8.79,2.19,20.7,54.37
1080,649,6.75,30.18,8.82,27.0,84.6
3031,174,0.59,8.48,2.64,24.5,52.79
1693,387,3.94,14.78,5.62,27.0,69.55
1071,580,6.29,25.89,7.01,26.1,86.47
1196,537,6.22,26.22,8.0,30.2,76.92
2906,82,0.05,8.86,1.08,16.2,53.19
1057,673,5.73,25.46,8.34,27.5,82.24
590,14,0.32,1.99,1.96,2.1,34.98
1667,405,3.76,16.74,5.56,20.1,59.63
624,42,0.48,2.39,0.78,0.0,24.56
2905,238,0.79,7.39,1.66,21.0,46.08
1015,709,5.54,24.62,7.99,33.9,80.82
556,0,0.0,2.22,0.98,0.0,22.26
1632,476,3.15,16.82,5.68,22.8,64.08
782,0,0.29,2.78,2.1,4.6,35.42
645,12,0.2,0.0,0.17,1.6,25.0
2943,282,1.06,10.13,3.31,15.7,49.31
2997,98,1.3,6.96,1.43,18.2,48.21
3129,197,0.97,6.52,2.38,16.9,38.64
1577,391,3.57,21.39,5.11,18.6,70.31
1184,555,5.55,25.67,8.63,32.3,78.6
605,7,0.03,2.34,0.0,0.0,19.72
1240,350,3.86,18.33,5.49,23.6,65.37
519,0,0.17,0.0,1.06,0.0,25.53
2992,223,0.27,9.25,3.21,21.5,41.05
978,617,6.58,20.1,9.34,27.6,79.92
3049,180,0.54,10.07,3.58,18.0,43.67
877,0,0.39,3.69,0.0,5.5,30.94
3132,118,1.46,10.98,2.58,23.0,49.06
2957,113,0.17,11.19,2.73,19.1,52.05
552,0,0.0,0.6,0.33,0.0,28.64
3226,279,0.12,9.28,3.68,15.8,49.18
735,0,0.56,0.59,0.17,0.0,27.12
2922,126,0.66,9.58,1.84,23.3,42.48
597,0,0.0,0.0,0.78,0.4,21.13
1672,464,2.97,15.68,4.57,18.7,56.46
1453,386,2.7,16.89,4.8,27.9,58.44
2865,102,0.77,9.18,1.16,22.5,47.48
1036,576,5.87,25.07,7.89,31.4,68.19
719,0,0.0,2.26,0.27,0.0,21.61
1171,577,6.4,27.44,8.71,33.5,70.96
3297,168,0.0,7.16,1.19,21.1,43.86
3044,189,0.21,9.0,1.57,14.8,50.92
1307,373,3.95,21.16,5.08,23.6,56.99
1439,436,3.14,17.53,5.01,22.9,61.38
964,626,5.82,27.74,9.17,34.5,68.85
1550,370,3.93,18.21,4.58,27.7,57.93
1593,387,3.82,17.72,5.47,29.9,61.93
3287,132,0.22,8.9,3.31,14.5,46.94
538,11,0.39,2.94,0.71,4.1,25.48
1559,454,3.14,18.65,5.97,20.8,56.35
600,126,0.04,1.35,0.0,0.0,28.19
955,624,6.25,27.1,8.73,25.8,80.21
1040,658,6.48,25.87,8.76,32.9,70.09
2725,257,0.51,7.42,1.53,26.2,48.62
574,109,0.0,1.16,0.02,4.7,29.98
859,0,0.0,1.21,0.92,1.8,36.8
2922,97,0.67,9.22,2.46,15.7,38.93
1138,628,6.11,26.11,7.77,29.2,86.37
1203,484,6.04,20.5,8.94,26.2,71.89
3110,283,1.05,8.63,2.71,20.0,47.26
3137,194,1.31,8.11,2.64,17.8,56.1
711,0,0.0,3.41,0.58,1.7,27.83
3109,223,0.27,7.03,1.95,22.5,51.77
1645,393,3.59,20.0,5.12,28.1,57.85
1183,580,6.24,28.9,8.62,29.2,75.92
1622,440,3.54,17.3,6.66,23.7,57.79
1541,398,3.7,15.0,5.4,20.9,64.78
1378,572,5.57,20.7,9.61,32.8,76.38
1440,428,3.86,20.76,5.71,23.1,57.34
1385,459,2.26,17.6,4.83,27.3,67.88
1234,592,6.1,26.79,9.03,29.6,73.79
1406,386,3.77,18.83,5.56,31.4,63.98
1774,313,3.46,15.66,5.35,29.3,48.06
821,24,0.0,2.49,0.88,4.8,39.53
3007,116,0.62,10.29,2.47,15.5,38.44
1717,423,3.9,19.38,6.02,26.5,55.03
978,555,5.83,27.56,8.65,31.1,72.48
1471,401,4.4,19.33,4.82,27.0,50.7
1221,694,6.2,24.63,9.33,28.4,74.91
739,2,1.37,1.61,0.0,0.5,35.77
499,53,0.13,4.14,0.0,1.7,36.55
879,69,0.82,0.38,0.0,0.0,27.17
1495,419,3.61,16.54,4.18,27.4,61.44
2779,137,0.43,4.24,1.51,18.6,43.3
626,47,0.01,3.77,1.07,7.2,32.99
776,0,0.05,5.0,0.85,6.1,22.92
1040,624,6.45,24.67,6.97,26.6,79.04
1001,510,6.08,26.79,9.22,35.2,79.69
659,36,0.61,1.03,0.26,1.9,22.83
2936,196,0.38,9.07,1.31,18.1,40.29
997,591,6.38,29.21,9.21,32.1,76.55
519,19,0.0,0.69,0.0,2.8,25.99
1548,398,3.03,18.0,5.16,22.2,64.04
1077,591,5.41,27.39,8.24,29.8,65.35
879,0,0.61,1.15,0.82,0.0,32.97
3261,208,0.38,9.83,1.47,19.5,57.32
931,591,5.88,28.64,9.01,28.5,82.59
1282,392,3.0,17.13,5.87,20.3,57.82
989,589,5.33,26.28,8.39,30.8,72.36
1026,553,6.35,25.57,8.41,30.1,77.68
3134,162,0.99,9.14,1.12,16.9,39.04
1442,458,3.47,17.35,4.96,22.7,61.47
587,29,0.2,2.44,0.0,0.2,29.12
742,0,0.23,0.0,0.16,1.1,20.94
1076,578,5.82,23.47,8.44,30.1,74.73
620,0,0.1,2.31,0.04,6.1,21.09
1561,392,3.73,19.09,5.72,28.0,59.54
683,0,0.44,1.95,0.93,5.4,28.83
1539,354,4.09,17.3,5.33,25.8,62.27
2978,163,0.86,11.8,1.84,15.8,44.21
903,595,6.42,23.07,7.49,34.7,71.51
804,0,0.0,1.27,0.0,0.5,31.33
750,0,0.0,3.79,0.0,0.0,19.98
3040,142,0.38,9.05,0.83,20.1,44.46
1279,622,5.99,21.82,8.18,28.8,75.26
3069,113,0.21,12.04,2.65,19.7,42.37
1418,429,3.15,15.48,5.94,28.0,63.98
914,582,5.99,24.58,9.1,25.1,71.61
1438,320,2.92,21.53,5.31,26.0,77.38
