machine_id,temp_bearing,temp_motor,temp_gearbox,oil_temp,temp_ambient,vibration_x,vibration_y,vibration_z,acoustic_db,rpm,spindle_speed,feed_rate,torque,power_kw,current_a,current_b,current_c,load_pct,pressure_in,pressure_out,coolant_flow,oil_level,voltage,humidity,condition
MX0001,61.25,69.26,60.02,56.56,25.46,3.07,3.0,2.59,80.22,2125.04,6797.89,271.98,127.32,82.58,22.06,23.12,23.46,66.89,84.58,61.36,27.83,83.31,415.31,45.07,Normal
MX0002,72.66,78.22,68.98,62.77,29.08,2.43,2.26,2.21,78.41,2172.75,8015.02,336.63,162.62,104.24,28.95,30.54,25.88,84.32,90.57,71.68,35.5,77.44,414.68,45.11,Warning
MX0003,65.03,74.08,61.96,57.83,28.65,2.22,1.69,1.99,81.35,2314.11,7356.81,314.25,145.26,99.69,24.1,28.56,26.87,82.34,89.42,64.28,35.8,77.43,415.48,45.13,Warning
MX0004,68.43,70.23,59.06,57.16,25.56,2.74,2.5,2.07,81.55,1589.19,5890.07,233.55,112.33,67.06,21.74,19.48,21.73,60.88,72.74,56.43,27.39,78.13,414.78,44.9,Normal
MX0005,68.64,66.24,61.13,58.11,27.87,3.13,2.29,2.59,80.11,1830.59,5747.1,230.21,127.92,76.14,23.88,23.59,20.88,59.38,79.55,64.78,32.39,78.24,414.71,44.59,Warning
MX0006,65.22,61.73,57.26,56.22,26.68,1.58,1.22,1.45,74.69,1363.9,4772.02,236.2,96.35,59.44,16.71,16.54,18.04,60.03,73.04,51.87,26.71,80.97,415.04,45.29,Normal
MX0007,58.49,61.37,55.85,50.92,27.37,1.45,1.61,1.6,77.41,1863.86,6029.98,257.5,110.4,72.96,21.44,22.64,22.71,68.94,81.7,58.76,26.86,82.24,415.1,44.74,Normal
MX0008,58.54,62.7,52.54,54.87,26.38,1.49,1.64,1.38,68.81,1718.5,4798.76,219.02,108.16,74.66,17.84,20.74,19.5,61.79,76.93,51.6,25.95,83.22,415.06,44.99,Normal
MX0009,79.21,81.83,75.4,66.14,29.42,2.83,2.58,2.2,85.37,2135.95,7200.45,294.77,161.13,94.64,26.86,27.08,28.38,73.78,94.67,70.04,35.65,75.51,415.61,44.88,Failure
MX0010,60.22,61.74,55.59,52.82,28.73,0.95,0.72,0.98,66.53,997.54,2209.14,136.62,67.72,44.37,12.21,14.92,13.03,36.34,59.75,45.23,21.56,84.94,414.97,44.9,Normal
MX0011,66.56,69.93,62.86,56.18,29.45,2.38,2.2,1.94,78.98,2198.62,8058.5,312.27,146.33,91.37,26.55,26.26,29.89,92.69,89.79,62.85,29.51,83.46,415.43,45.05,Normal
MX0012,66.11,69.19,59.69,58.14,29.08,1.8,1.58,1.08,75.52,1765.06,5908.89,213.68,103.45,67.03,22.67,20.6,18.5,59.06,77.02,54.52,28.34,80.85,414.89,45.13,Normal
MX0013,65.58,65.98,58.67,56.91,28.2,3.31,2.34,2.27,82.04,2086.89,7493.45,267.77,148.36,88.78,23.58,24.06,26.02,75.03,82.79,58.59,32.23,73.69,415.16,44.79,Normal
MX0014,71.42,76.79,69.51,63.41,29.01,2.0,1.69,2.03,78.43,1704.5,5904.76,259.54,133.22,74.66,19.95,21.64,23.81,59.31,80.68,59.28,37.43,78.47,415.21,45.61,Warning
MX0015,64.08,62.41,59.0,57.17,28.87,2.67,2.14,2.16,79.22,1717.79,5792.2,238.22,124.19,71.83,20.77,20.76,22.93,60.23,78.65,58.09,26.39,75.49,414.7,44.74,Normal
MX0016,74.21,75.35,64.84,63.44,28.3,2.87,2.66,2.11,82.03,2142.87,6111.22,292.73,135.87,86.8,24.17,24.68,28.1,72.71,85.27,70.04,32.73,79.24,414.84,44.86,Warning
MX0017,68.16,68.76,64.54,56.18,28.85,3.09,2.48,1.87,81.68,2115.24,7319.42,277.17,130.59,93.9,27.31,27.66,27.26,81.07,85.2,76.23,31.34,81.88,415.3,44.93,Normal
MX0018,61.76,63.99,55.7,56.72,26.07,2.02,1.85,1.8,72.52,1687.76,5298.94,213.96,118.31,67.86,18.56,18.85,21.73,54.5,77.65,65.24,28.86,76.68,414.75,44.83,Normal
MX0019,67.09,67.75,66.24,60.16,28.66,3.45,3.25,2.92,86.63,2057.6,5895.53,267.63,126.93,79.71,24.21,20.59,22.11,75.6,88.48,64.64,39.12,77.76,415.51,45.46,Warning
MX0020,74.25,79.38,69.18,62.74,28.68,1.97,1.49,1.66,74.4,1967.63,6260.97,287.02,130.57,80.86,24.91,23.31,25.72,70.61,85.52,55.1,32.82,78.6,415.46,44.77,Warning
MX0021,58.71,64.59,58.45,54.86,29.39,2.12,1.95,2.31,76.2,1694.51,5004.47,211.32,117.18,63.33,18.56,17.68,15.29,58.64,75.18,53.7,25.13,76.91,415.4,45.35,Normal
MX0022,63.34,60.83,56.08,51.49,28.47,1.0,0.85,0.97,71.68,1317.23,3135.07,163.6,82.04,35.4,11.67,12.88,14.6,42.29,73.74,50.8,26.06,82.78,414.98,44.59,Normal
MX0023,65.1,70.08,61.8,57.63,27.15,2.36,1.95,1.64,75.11,1931.26,6346.11,244.23,127.1,80.6,23.98,22.42,26.23,64.94,84.54,62.76,30.19,77.5,415.01,44.85,Warning
MX0024,69.82,70.09,64.18,59.75,28.48,2.9,3.04,2.21,83.04,1800.67,5481.56,232.35,110.58,81.45,22.67,22.65,21.2,63.18,77.76,59.28,32.52,71.7,415.07,44.89,Warning
MX0025,55.38,60.28,50.94,50.93,27.07,0.83,0.7,1.08,72.48,1076.98,3491.86,145.43,71.43,31.1,12.97,10.73,10.65,31.05,63.97,47.66,23.95,81.14,415.02,45.19,Normal
MX0026,66.34,68.1,63.43,60.92,29.45,2.12,2.23,1.78,80.53,1547.9,4929.81,203.06,109.2,58.78,19.61,20.29,22.31,63.69,76.69,64.42,27.74,75.85,415.28,45.24,Normal
MX0027,57.24,59.5,53.36,55.08,27.38,2.58,2.16,1.97,79.88,1736.64,5359.26,217.56,106.95,59.12,21.52,19.44,19.01,59.73,72.33,56.53,28.04,88.68,415.62,45.32,Normal
MX0028,62.66,61.16,53.04,51.01,27.53,1.32,1.38,1.04,72.3,1387.16,3964.09,192.26,87.19,51.0,13.67,16.35,16.79,44.7,68.21,54.05,29.23,84.72,415.2,45.16,Normal
MX0029,59.11,61.29,58.38,57.67,27.73,2.49,1.63,1.75,81.3,1383.85,4158.49,194.1,105.97,57.04,16.24,17.78,15.74,46.2,74.99,57.54,24.41,83.66,414.94,45.03,Normal
MX0030,69.8,70.23,68.99,58.11,26.4,3.25,2.52,2.68,84.74,2148.16,7174.6,255.11,145.06,74.73,25.28,22.31,24.02,67.14,77.5,62.9,34.74,79.41,414.8,44.7,Failure
MX0031,72.31,83.88,69.64,61.21,28.58,2.7,2.38,2.28,74.61,1835.39,7778.56,293.99,134.89,91.59,25.35,28.71,26.55,78.36,92.25,64.28,35.42,73.64,414.99,45.37,Warning
MX0032,62.88,66.63,57.63,59.95,27.18,2.21,1.89,1.82,75.92,1688.67,5249.41,235.36,123.86,70.49,20.69,20.9,18.58,61.86,79.65,59.34,25.51,85.15,415.04,44.73,Normal
MX0033,70.71,75.02,65.26,64.94,28.23,2.05,1.81,2.07,78.7,1551.38,5439.11,172.99,94.66,79.57,21.88,19.54,20.88,57.9,75.57,62.42,29.72,69.2,415.14,45.01,Warning
MX0034,54.18,60.94,50.68,51.57,29.12,1.38,1.24,0.88,73.99,1675.33,6188.86,231.04,97.27,63.63,19.4,20.02,17.93,65.19,73.01,58.86,25.61,83.88,415.4,44.98,Normal
MX0035,62.98,66.8,64.12,55.15,26.67,2.45,2.46,1.91,80.06,2015.13,7498.98,291.2,122.4,85.55,22.23,24.21,23.83,79.1,86.95,62.87,33.09,89.73,415.06,45.07,Normal
MX0036,57.85,62.77,57.41,52.85,28.19,1.94,1.79,1.32,74.74,1643.36,4774.37,240.26,95.91,69.85,16.86,20.3,19.47,59.88,65.83,58.71,25.8,85.58,414.72,45.17,Normal
MX0037,75.14,80.23,66.9,63.77,30.5,2.83,2.05,2.16,82.93,2141.02,7205.12,265.78,147.95,93.25,24.04,26.07,26.63,70.95,84.5,68.85,38.93,82.72,414.64,44.8,Warning
MX0038,71.76,74.26,65.87,59.08,27.86,2.88,2.25,1.7,76.03,2229.66,7934.17,297.77,140.04,91.95,30.15,29.26,29.26,78.97,87.66,63.01,30.51,83.49,415.02,45.05,Warning
MX0039,63.17,69.78,63.77,58.0,27.21,1.95,1.87,1.7,76.1,1629.76,5499.01,238.57,102.25,71.69,20.46,23.49,22.03,61.05,85.74,58.63,25.75,75.04,415.13,45.15,Normal
MX0040,67.34,70.88,62.8,56.5,28.48,1.5,1.09,1.19,72.72,1450.11,4231.88,229.65,106.31,63.7,17.12,19.62,19.08,54.3,76.46,58.62,32.08,76.81,414.87,44.9,Normal
MX0041,51.97,56.29,49.93,51.38,28.22,1.53,1.57,1.47,71.99,1798.46,6098.54,229.06,110.8,59.57,17.55,21.13,19.88,62.52,80.42,57.72,26.98,80.47,414.54,45.02,Normal
MX0042,78.13,84.02,73.56,67.39,28.82,3.21,2.93,2.73,81.94,2223.45,6612.89,333.31,146.1,91.79,29.35,27.86,23.95,70.21,83.4,72.68,35.33,74.28,415.23,44.95,Failure
MX0043,76.42,84.34,68.46,64.08,30.35,2.63,2.3,2.15,82.68,2168.92,7365.72,307.83,144.76,107.68,28.68,29.88,29.0,83.26,95.95,75.19,38.85,80.99,414.96,44.91,Warning
MX0044,53.16,57.44,53.35,52.97,25.91,0.81,0.94,0.97,71.01,1306.14,3496.24,159.55,77.03,46.12,14.51,13.11,12.64,43.38,66.01,57.11,19.52,79.28,415.4,45.08,Normal
MX0045,64.78,70.69,60.61,57.59,30.01,1.05,0.76,1.05,71.41,1283.42,4148.66,189.37,92.48,52.81,18.52,19.51,15.77,41.23,74.29,52.93,22.35,80.29,415.17,44.85,Normal
MX0046,64.42,67.84,63.7,60.63,27.57,1.92,2.05,2.3,76.69,1552.61,5454.21,195.96,105.19,70.33,21.76,18.19,20.07,55.64,76.66,57.22,30.21,80.43,415.26,45.19,Warning
MX0047,61.54,60.76,57.69,50.49,28.48,1.12,1.2,1.13,71.97,897.29,3300.82,153.11,66.45,46.92,12.22,13.03,11.17,36.81,71.61,49.24,21.67,86.07,414.6,44.96,Normal
