machine_id,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,vibration_mm_s,unplanned_downtime_min,failure_mode,failure
M033,303.82,312.29,1716,24.16,137.4,3.43,328.0,ToolWear,1
M030,297.48,307.31,1637,37.22,3.2,3.76,0.0,None,0
M037,298.84,307.46,1654,29.11,149.5,3.17,0.0,None,0
M013,304.66,313.59,1809,32.59,1.7,3.41,0.0,None,0
M039,300.87,309.32,1286,44.64,195.4,3.52,35.0,HeatDissipation,1
M013,299.54,309.44,1764,59.97,169.6,4.13,303.0,Overstrain,1
M003,296.3,305.87,1457,50.93,65.9,3.59,185.0,ToolWear,1
M032,300.39,311.08,1666,35.69,249.3,3.95,0.0,None,0
M010,299.99,309.1,1349,46.21,176.9,,0.0,None,0
M039,301.99,312.4,1412,41.76,226.9,4.01,0.0,None,0
M032,298.34,308.22,1455,34.05,231.1,3.42,0.0,None,0
M025,298.67,309.57,1548,41.15,90.7,3.94,0.0,None,0
M023,301.76,310.72,1641,19.64,232.9,3.48,0.0,None,0
M011,298.09,306.92,1621,42.8,68.6,3.99,0.0,None,0
M033,303.27,313.33,1512,40.34,47.1,3.91,0.0,None,0
M018,299.69,310.11,1372,50.88,106.4,4.2,0.0,None,0
M037,300.9,311.48,1370,39.87,258.3,3.44,0.0,None,0
M007,298.85,310.09,1480,49.99,49.1,3.85,0.0,None,0
M023,303.47,314.0,1614,30.42,181.8,4.06,0.0,None,0
M018,298.87,309.54,1684,34.78,120.8,4.09,0.0,None,0
M004,302.73,314.0,1784,45.96,103.6,3.98,0.0,None,0
M036,299.02,308.95,1206,32.14,,3.15,0.0,None,0
M002,300.87,312.2,1846,30.88,194.1,3.48,0.0,None,0
M009,298.31,308.12,1573,35.5,204.6,3.62,0.0,None,0
M008,301.63,312.26,1477,44.42,59.3,3.87,0.0,None,0
M018,303.25,313.37,1720,33.53,168.5,3.61,0.0,None,0
M006,299.03,309.01,1432,52.48,92.6,3.71,0.0,None,0
M026,303.8,314.0,1531,29.15,75.1,3.44,0.0,None,0
M004,300.28,311.84,1468,30.5,258.6,3.15,0.0,None,0
M038,298.59,308.62,1594,47.27,89.1,3.91,0.0,None,0
M028,300.63,310.48,1401,24.71,88.5,2.95,114.0,ToolWear,1
M026,299.18,308.93,1535,39.25,35.8,3.39,0.0,None,0
M037,300.56,309.0,1454,23.91,225.9,3.09,63.0,HeatDissipation,1
M018,299.08,310.34,1358,47.52,246.9,3.55,0.0,None,0
M033,296.89,307.0,1732,57.06,35.5,4.13,0.0,None,0
M027,302.6,313.57,1579,32.0,,3.7,0.0,None,0
M020,300.56,311.75,1496,15.32,56.3,2.96,0.0,None,0
M012,299.38,309.12,1640,40.92,103.3,3.5,0.0,None,0
M014,301.31,311.95,1506,47.55,71.8,3.71,259.0,ToolWear,1
M004,297.3,306.57,1414,45.49,105.9,3.93,0.0,None,0
M007,299.6,308.05,1431,33.92,234.1,3.69,151.0,HeatDissipation,1
M034,301.49,310.83,1662,30.15,159.9,3.83,0.0,None,0
M029,302.88,312.56,1624,35.17,205.9,3.27,0.0,None,0
M019,300.46,310.52,1473,33.11,135.3,4.42,0.0,None,0
M018,301.83,311.51,1648,31.26,195.0,3.77,0.0,None,0
M038,296.55,305.63,1280,43.89,37.8,3.49,0.0,None,0
M029,300.04,309.17,1291,57.17,100.8,3.71,0.0,None,0
M008,301.84,312.0,1584,31.17,25.5,3.33,0.0,None,0
M031,302.77,311.44,1356,28.36,189.2,2.94,0.0,None,0
M001,297.7,307.75,1883,38.12,78.8,4.07,0.0,None,0
M034,303.3,313.15,1354,46.51,138.2,4.22,0.0,None,0
M021,305.0,314.0,1677,31.13,235.1,3.32,0.0,None,0
M030,300.5,308.19,1595,46.65,50.4,4.0,0.0,None,0
M029,296.63,307.89,1694,40.02,231.3,3.82,65.0,Overstrain,1
M011,301.47,309.26,1689,30.92,173.8,3.49,0.0,None,0
M040,301.43,311.69,1690,56.3,157.6,3.89,0.0,None,0
M008,299.2,308.65,1771,53.09,235.4,4.0,39.0,Overstrain,1
M026,302.9,312.65,1625,40.09,183.5,,0.0,None,0
M009,303.72,313.27,1654,47.95,79.6,4.59,0.0,None,0
M004,298.04,307.86,1537,41.88,120.4,3.44,0.0,None,0
M001,297.94,307.32,1661,52.03,129.7,3.66,0.0,None,0
M023,300.57,311.81,1490,44.71,222.3,3.63,0.0,None,0
M027,302.47,313.55,1415,44.09,139.3,3.79,0.0,None,0
M016,297.49,308.69,1168,25.51,81.9,3.42,0.0,None,0
M027,298.41,308.8,1658,32.73,60.9,4.24,0.0,None,0
M008,299.42,309.02,1489,39.27,33.6,4.19,0.0,None,0
M020,298.29,310.78,1527,38.58,198.6,4.43,0.0,None,0
M033,299.46,309.66,1367,40.23,242.2,3.25,0.0,None,0
M001,301.95,310.4,1586,32.5,234.6,3.25,0.0,None,0
M029,298.13,309.91,1663,30.48,109.4,3.41,0.0,None,0
M028,301.4,313.42,1533,43.43,203.7,3.64,0.0,None,0
M033,299.93,308.67,1617,44.46,222.8,4.41,0.0,None,0
M012,299.37,309.67,1408,47.66,150.2,3.67,0.0,None,0
