current_amp,voltage_v,travel_speed_mmps,wire_feed_mmps,heat_input_kjmm,gas_flow_lpm,joint_gap_mm,plate_thickness_mm,material,defect
247.7,23.37,7.78,7.57,0.744,16.0,0.79,8.0,Carbon,0
227.3,22.98,8.9,5.96,0.587,16.5,0.66,12.0,Carbon,0
230.6,24.46,8.15,7.76,0.692,12.0,0.81,10.0,Stainless,0
181.9,23.14,7.51,5.39,0.56,20.5,0.77,8.0,Carbon,0
154.8,20.16,7.53,4.45,0.415,22.3,0.57,6.0,Aluminum,0
165.9,23.68,9.63,4.71,0.408,17.2,0.03,6.0,Carbon,0
195.3,23.44,9.73,6.08,0.471,17.1,0.6,12.0,Aluminum,0
234.0,24.32,13.98,6.56,0.407,13.9,0.61,16.0,Carbon,1
218.2,22.95,10.67,6.3,0.469,16.7,0.6,10.0,Carbon,0
209.0,25.3,4.31,7.24,1.228,15.3,0.35,16.0,Carbon,0
218.2,25.71,12.93,7.33,0.434,18.6,0.62,8.0,Carbon,0
202.2,23.8,8.14,5.18,0.592,21.7,1.25,3.0,Stainless,0
196.2,24.98,10.22,6.63,0.48,22.8,0.07,12.0,Carbon,0
212.3,23.25,8.59,6.65,0.575,15.3,0.45,12.0,Stainless,0
247.8,24.9,10.34,7.9,0.597,22.0,1.35,8.0,Stainless,0
172.2,22.73,5.67,6.89,0.69,21.0,1.04,8.0,Carbon,0
224.1,25.25,7.81,6.85,0.725,15.6,0.41,10.0,Carbon,0
176.2,24.5,8.61,5.21,0.501,19.7,0.97,16.0,Aluminum,0
164.9,22.64,11.8,5.15,0.316,15.8,0.7,3.0,Stainless,0
169.9,21.75,7.3,5.07,0.506,18.0,0.71,6.0,Carbon,0
167.6,22.98,8.8,5.07,0.438,19.8,0.72,3.0,Stainless,0
232.3,25.43,8.4,7.53,0.703,19.3,0.63,5.0,Carbon,0
212.9,23.89,12.66,6.17,0.402,19.8,0.92,16.0,Aluminum,1
206.6,26.44,6.51,6.5,0.84,19.6,0.29,5.0,Stainless,0
243.1,24.35,7.82,7.54,0.757,15.1,0.65,5.0,Stainless,1
208.2,25.84,6.8,6.62,0.791,20.0,1.42,12.0,Carbon,0
201.4,24.02,8.98,5.2,0.539,14.8,0.34,6.0,Carbon,0
190.0,23.16,9.34,5.47,0.471,14.7,0.34,8.0,Carbon,0
137.7,22.61,10.38,3.09,0.3,10.7,1.16,8.0,Stainless,0
201.1,21.9,5.65,6.16,0.779,18.0,0.55,16.0,Stainless,1
175.4,23.35,8.4,5.56,0.488,18.8,0.38,16.0,Carbon,0
191.3,22.67,9.74,6.11,0.445,14.3,0.25,8.0,Carbon,0
142.2,23.76,6.46,3.39,0.523,14.8,0.75,6.0,Stainless,0
231.5,25.19,9.98,7.6,0.584,13.8,0.29,12.0,Stainless,0
212.3,23.31,8.97,6.61,0.551,18.3,1.15,6.0,Carbon,0
190.5,23.44,7.58,4.65,0.589,20.8,0.76,16.0,Carbon,0
195.2,22.89,6.55,5.79,0.683,15.2,0.36,3.0,Carbon,0
237.7,23.81,8.29,7.43,0.683,20.0,0.13,10.0,Carbon,0
215.1,26.12,6.31,7.27,0.89,8.4,1.46,5.0,Stainless,0
142.6,22.31,10.66,3.93,0.298,13.1,0.44,8.0,Stainless,0
153.4,22.64,8.84,3.57,0.393,14.1,0.86,12.0,Stainless,1
194.8,21.66,9.94,6.02,0.424,17.8,0.71,5.0,Carbon,0
192.9,24.64,9.12,5.37,0.521,17.8,1.08,16.0,Stainless,0
235.5,26.79,5.44,6.4,1.159,12.4,0.97,16.0,Stainless,0
181.5,23.83,8.77,6.27,0.493,16.9,0.95,10.0,Aluminum,0
259.8,25.97,6.81,8.18,0.992,18.1,0.95,16.0,Carbon,0
211.7,23.21,7.07,6.75,0.695,17.8,0.84,8.0,Stainless,1
207.6,26.65,3.81,5.93,1.452,16.1,1.01,5.0,Stainless,0
168.7,22.58,4.03,5.24,0.946,20.7,0.2,10.0,Carbon,0
198.8,23.57,11.0,5.76,0.426,17.1,0.61,3.0,Carbon,0
166.0,23.09,3.0,4.8,1.278,16.0,0.14,6.0,Carbon,0
204.3,23.44,4.68,6.13,1.024,12.6,0.5,3.0,Carbon,0
182.5,24.72,5.63,4.78,0.801,17.4,0.22,12.0,Stainless,1
179.8,25.1,6.06,5.33,0.745,14.6,0.42,8.0,Aluminum,0
179.4,21.61,10.59,5.11,0.366,18.2,0.05,10.0,Carbon,0
185.4,22.45,6.89,6.04,0.604,17.9,1.24,16.0,Stainless,0
168.8,21.65,3.83,4.7,0.955,13.1,1.41,6.0,Aluminum,1
196.0,22.42,5.89,5.12,0.745,18.8,1.08,6.0,Stainless,0
184.7,22.6,8.02,6.79,0.52,16.5,0.72,16.0,Carbon,1
204.8,24.43,11.64,7.84,0.43,12.7,1.17,12.0,Stainless,0
174.4,23.37,10.42,5.49,0.391,19.2,0.28,8.0,Aluminum,0
190.0,23.02,10.36,4.68,0.422,20.5,1.15,8.0,Carbon,0
183.0,24.66,7.66,5.01,0.589,12.5,0.66,6.0,Carbon,0
217.9,24.83,3.53,6.39,1.532,15.0,1.22,3.0,Stainless,0
236.4,22.49,9.97,7.67,0.533,16.9,0.98,3.0,Carbon,0
202.1,23.84,7.98,6.17,0.603,15.9,0.27,5.0,Carbon,0
130.6,24.94,10.86,5.27,0.3,13.2,0.37,8.0,Carbon,1
216.5,24.23,8.13,6.4,0.645,19.0,1.28,5.0,Carbon,0
162.8,25.71,5.68,5.45,0.738,10.0,0.31,12.0,Carbon,0
149.3,21.88,6.74,4.67,0.484,14.3,1.4,8.0,Carbon,1
189.6,24.71,5.84,4.75,0.803,17.7,0.79,6.0,Carbon,0
202.6,24.9,3.86,4.87,1.308,15.3,1.01,6.0,Carbon,0
217.2,22.47,8.93,6.44,0.547,14.8,0.62,10.0,Carbon,0
163.3,20.6,3.85,3.54,0.874,17.5,0.85,8.0,Stainless,0
237.8,24.73,4.11,7.71,1.432,13.5,0.35,3.0,Aluminum,0
171.4,23.27,6.03,4.95,0.662,12.4,1.19,10.0,Stainless,0
152.0,23.86,6.39,4.03,0.567,16.6,1.39,8.0,Carbon,1
196.8,24.74,5.91,5.56,0.824,21.8,0.99,10.0,Carbon,0
194.8,23.6,9.76,5.8,0.471,17.1,0.29,8.0,Carbon,0
153.1,23.1,10.03,5.24,0.352,17.9,0.18,12.0,Stainless,0
168.1,23.48,8.02,5.72,0.492,13.8,0.47,6.0,Carbon,1
239.8,26.94,7.53,6.68,0.858,15.2,1.27,5.0,Stainless,0
268.8,25.04,4.22,7.76,1.596,16.4,0.43,3.0,Carbon,0
163.9,24.93,8.4,4.6,0.486,10.5,1.31,6.0,Aluminum,1
225.2,26.35,7.97,6.72,0.745,21.4,0.35,10.0,Aluminum,0
173.4,21.84,10.01,6.38,0.378,15.4,0.13,5.0,Carbon,0
204.2,23.21,10.05,6.0,0.471,17.2,0.69,12.0,Carbon,0
172.5,22.57,8.41,5.68,0.463,14.8,0.23,10.0,Carbon,0
204.2,24.3,5.04,6.05,0.984,21.4,1.11,8.0,Stainless,0
216.4,25.01,5.2,5.79,1.04,18.2,0.66,12.0,Carbon,0
185.3,21.77,11.36,5.57,0.355,13.5,0.42,6.0,Stainless,0
175.5,23.47,10.56,4.98,0.39,19.5,0.23,3.0,Carbon,0
152.5,23.68,6.51,4.4,0.555,19.3,1.23,8.0,Stainless,0
