dim_error_um,surface_ra_um,hardness_hv,roundness_um,threadfit_score,weight_g,machine_age_yrs,supplier,reject_recorded,reject
4.73,2.33,227.0,12.33,1.01,248.4,2.0,B,1,1
11.63,2.76,215.0,4.54,0.755,240.0,4.3,B,0,0
6.88,1.92,221.0,7.58,-0.041,237.5,2.6,A,0,0
2.48,1.89,233.0,9.03,-1.147,250.3,4.2,A,0,0
7.7,3.06,210.0,6.04,1.604,254.2,4.4,B,0,0
9.38,2.88,219.0,7.45,-0.948,253.2,3.6,B,0,0
11.13,3.01,233.0,5.83,1.435,245.6,5.8,B,0,0
3.35,2.58,246.0,9.15,0.157,250.3,5.2,A,0,0
9.5,2.39,202.0,6.79,-0.446,252.5,2.2,A,1,1
7.14,2.62,224.0,6.07,-0.245,249.2,2.8,A,0,0
8.49,2.14,245.0,5.35,-0.202,256.6,3.2,A,0,0
11.22,2.0,218.0,6.53,2.012,259.1,1.2,A,1,1
10.93,2.23,216.0,7.39,-0.553,255.9,1.6,A,0,0
5.24,3.9,203.0,8.26,0.591,254.1,5.1,C,1,0
5.3,2.64,237.0,5.85,-0.388,246.5,3.7,B,0,0
9.45,2.53,244.0,7.84,-0.047,253.2,3.5,A,0,0
4.45,2.03,215.0,6.69,0.516,256.2,1.0,A,0,0
4.14,2.27,233.0,5.75,-0.085,250.2,2.0,B,0,0
5.68,2.76,239.0,5.03,-1.077,262.6,9.4,B,0,0
6.47,3.31,230.0,8.96,-1.846,248.5,10.3,C,1,1
9.39,2.3,230.0,1.88,1.39,251.1,2.9,A,0,0
9.27,1.97,220.0,5.16,1.068,252.0,3.4,A,0,0
9.92,3.1,205.0,9.34,-1.371,245.8,9.8,C,1,1
15.93,2.92,194.0,4.56,0.361,249.2,7.2,C,0,0
5.4,3.32,236.0,5.91,-1.192,248.8,6.6,B,0,0
10.08,2.08,193.0,7.68,-0.018,251.5,2.9,A,0,0
8.29,2.98,238.0,11.87,1.724,252.0,6.4,B,1,1
7.24,3.42,207.0,2.98,-2.361,253.9,6.2,A,0,0
1.72,0.75,223.0,6.28,-0.443,242.1,5.0,B,0,0
5.81,0.9,234.0,2.71,0.766,256.9,3.1,A,0,0
5.45,3.27,220.0,5.08,1.578,257.5,7.1,B,0,0
8.62,2.61,237.0,5.5,1.877,250.9,7.2,B,0,0
10.42,4.01,252.0,3.74,0.055,239.4,8.6,C,1,1
10.68,2.7,231.0,4.3,-0.812,260.2,8.7,C,0,0
8.67,2.09,194.0,6.87,-1.563,242.4,3.9,B,0,0
10.46,2.61,236.0,7.54,-1.862,241.6,7.2,B,1,1
10.14,3.78,215.0,6.47,0.138,246.8,6.9,B,0,0
5.91,2.63,235.0,0.5,-0.912,254.6,2.9,A,0,0
5.09,3.94,221.0,11.56,-1.043,245.6,8.2,C,1,1
10.11,1.99,226.0,7.97,-1.059,247.2,4.1,B,0,0
4.84,2.39,241.0,6.41,-3.272,259.9,2.7,B,1,1
6.22,1.42,226.0,4.15,-0.367,255.5,1.5,A,0,0
10.63,3.19,227.0,6.52,-1.47,250.5,8.0,C,1,1
12.07,2.09,221.0,3.69,-0.217,249.7,6.2,C,0,0
9.63,2.72,218.0,7.21,-0.846,244.8,5.3,B,0,0
11.31,2.42,253.0,5.55,-2.574,247.5,2.4,A,1,1
5.44,3.93,237.0,2.76,-0.109,249.6,10.9,C,0,0
9.55,2.62,199.0,9.44,0.088,249.2,3.8,A,1,1
5.54,2.04,227.0,5.78,-0.744,246.2,5.1,B,0,0
3.61,4.35,211.0,4.9,0.68,249.3,12.2,C,1,0
5.54,1.96,230.0,2.01,-1.262,251.6,3.3,A,0,0
4.22,1.69,228.0,9.36,-1.742,244.6,3.7,B,1,1
9.53,3.08,225.0,3.82,-0.409,244.3,7.2,C,0,0
5.84,3.67,212.0,3.34,-1.92,242.6,10.2,C,0,0
10.57,3.1,202.0,9.64,0.145,250.4,4.6,B,1,1
10.0,3.62,228.0,4.38,0.383,263.5,7.9,C,0,0
9.18,2.53,184.0,6.14,0.03,255.1,4.4,A,0,0
7.51,3.2,214.0,3.84,0.643,234.4,5.2,B,0,0
8.8,3.29,247.0,4.51,0.136,250.7,9.7,C,0,0
5.22,2.35,222.0,7.2,1.045,248.9,4.8,B,0,0
4.05,1.65,220.0,8.15,1.765,254.4,1.6,A,0,0
11.76,2.47,228.0,8.14,-2.01,243.7,6.6,B,1,1
2.6,1.85,219.0,7.34,-1.04,246.8,4.7,B,0,0
6.95,3.88,237.0,6.6,-1.155,257.7,9.1,C,1,0
7.19,3.75,219.0,8.67,3.306,249.8,12.2,C,1,1
8.07,2.75,240.0,5.01,0.254,249.6,4.7,A,0,0
7.35,2.5,229.0,7.06,0.272,257.9,2.6,A,0,0
0.89,1.67,194.0,5.13,1.981,248.1,3.2,B,0,0
13.09,2.39,238.0,10.37,0.41,256.5,1.6,A,1,1
6.35,3.21,211.0,5.66,1.345,239.9,5.2,B,0,0
6.45,4.09,203.0,4.7,1.384,253.3,7.2,B,0,0
6.94,1.36,226.0,5.69,-1.013,254.7,2.5,A,0,0
