air_temp_c,deck_temp_c,humidity_pct,traffic_count,mid_deflection_mm,strain_g1_ue,strain_g2_ue,strain_g3_ue,natural_freq_hz,accel_rms_mg,bearing_disp_mm,pier_tilt_urad,regime,event
9.519,17.052,67.388,521.305,8.155,89.712,80.227,83.099,2.611,12.273,2.176,-2.718,winter_peak,0
30.376,33.054,56.242,550.264,11.569,118.28,100.941,101.628,2.559,11.32,11.339,10.942,summer_peak,0
4.896,5.907,69.545,143.516,3.479,54.157,42.434,38.538,2.641,3.427,-0.2,-7.966,winter_offpeak,0
32.213,33.238,56.091,23.881,6.425,86.394,82.131,60.183,2.534,4.89,12.112,8.279,summer_offpeak,0
12.327,18.956,53.064,552.472,9.063,98.737,87.315,86.147,2.59,13.017,5.702,0.528,winter_peak,0
7.972,9.289,63.861,97.952,2.986,49.187,39.174,53.772,2.657,2.133,0.102,-1.91,winter_offpeak,0
8.359,11.281,64.961,543.399,7.521,78.951,85.296,72.016,2.628,15.342,1.197,-1.831,winter_peak,0
6.894,9.533,64.019,551.871,7.879,95.01,69.776,76.684,2.653,11.629,0.26,1.504,winter_peak,0
29.802,32.652,50.44,96.352,6.626,91.47,86.591,80.054,2.561,4.933,12.265,9.272,summer_offpeak,0
9.351,14.982,64.212,547.988,8.634,103.534,89.264,70.223,2.614,12.931,3.09,-2.167,winter_peak,0
31.605,34.944,52.747,564.849,12.744,119.191,110.148,102.199,2.521,14.468,11.468,5.899,summer_peak,0
3.189,6.875,60.555,144.376,2.875,45.092,44.329,41.909,2.625,4.108,-0.758,-3.096,winter_offpeak,0
3.494,6.513,69.693,209.051,3.702,56.376,49.411,47.671,2.658,7.746,0.03,-6.221,winter_offpeak,0
4.14,7.776,67.303,104.871,2.994,53.903,38.579,38.799,2.666,3.273,-0.771,-6.173,winter_offpeak,0
5.29,7.523,69.977,446.845,6.21,77.062,64.538,55.513,2.616,11.282,-0.475,-4.475,winter_peak,0
12.532,15.36,65.079,605.377,9.763,97.442,87.554,86.79,2.603,13.344,3.225,-2.232,winter_peak,0
35.232,38.191,53.276,674.124,14.205,141.507,115.114,103.702,2.517,15.11,12.974,7.177,summer_peak,0
3.606,6.101,71.098,67.904,1.641,51.572,34.885,38.566,2.644,2.35,-0.631,-3.121,winter_offpeak,0
32.32,37.942,51.297,591.138,13.246,126.03,108.719,113.062,2.516,13.322,13.611,2.451,summer_peak,0
31.854,33.362,42.21,621.304,12.254,125.672,114.202,110.432,2.516,14.287,10.335,5.172,summer_peak,0
31.491,33.945,48.588,638.361,12.699,130.739,111.26,112.23,2.522,13.112,11.568,2.681,summer_peak,0
27.68,29.15,50.344,154.126,7.164,92.801,74.247,77.201,2.591,6.261,8.727,6.86,summer_offpeak,0
6.428,7.844,65.759,528.984,7.334,76.108,70.703,64.851,2.658,16.529,-0.076,-6.287,winter_peak,0
29.625,33.235,52.781,70.267,7.47,89.567,77.494,75.103,2.54,2.323,10.869,4.333,summer_offpeak,0
12.78,17.246,62.907,506.456,8.046,95.678,80.329,74.161,2.587,11.478,3.317,1.069,winter_peak,0
29.363,29.717,54.194,100.4,6.926,82.394,69.769,82.287,2.564,4.05,9.677,1.756,summer_offpeak,0
8.748,10.94,66.508,574.333,8.692,83.044,70.237,77.656,2.613,9.008,0.001,-2.451,winter_peak,0
32.804,37.285,47.403,587.66,13.106,130.807,115.037,120.576,2.533,12.409,13.529,11.847,summer_peak,0
8.695,13.537,66.026,40.426,3.03,48.551,43.094,38.921,2.614,3.675,1.373,-2.451,winter_offpeak,0
8.431,12.519,56.937,136.144,3.879,55.414,63.991,59.717,2.626,3.723,1.834,-1.019,winter_offpeak,0
3.202,6.832,72.447,113.51,2.811,53.57,35.607,23.991,2.642,2.461,-0.406,-1.472,winter_offpeak,0
34.767,35.154,42.463,607.158,12.472,121.189,116.727,104.458,2.54,12.51,10.512,5.044,summer_peak,0
31.556,36.72,51.783,87.618,7.241,88.89,93.399,82.441,2.496,4.503,12.913,8.221,summer_offpeak,0
34.88,38.331,39.493,608.872,13.831,135.99,118.782,118.896,2.504,12.315,13.587,5.453,summer_peak,0
31.234,35.466,52.856,662.29,13.048,139.817,118.302,122.005,2.522,15.971,11.369,10.08,summer_peak,0
5.863,7.611,57.569,113.197,5.32,83.069,37.249,26.498,2.486,4.492,-0.721,-8.742,winter_offpeak,1
28.984,34.514,52.752,175.097,8.452,98.737,88.629,84.829,2.552,6.227,11.931,4.996,summer_offpeak,0
27.849,31.561,54.982,121.665,8.314,83.874,68.206,73.719,2.568,2.912,11.254,4.292,summer_offpeak,0
30.812,33.269,57.633,589.976,11.746,124.934,116.745,107.524,2.512,15.267,12.569,5.333,summer_peak,0
31.759,34.932,48.115,145.555,8.273,97.598,86.091,74.274,2.552,3.931,11.835,-0.918,summer_offpeak,0
32.873,35.257,54.848,547.803,12.532,122.77,112.278,105.149,2.545,11.118,12.099,2.091,summer_peak,0
31.019,32.319,52.41,53.502,7.29,91.647,75.914,65.789,2.557,2.664,10.776,-3.178,summer_offpeak,0
4.295,5.578,63.274,0.894,1.345,26.838,35.108,29.438,2.671,3.429,-1.797,0.309,winter_offpeak,0
7.786,12.024,59.23,508.403,7.431,75.829,91.877,69.758,2.624,10.134,0.157,-8.24,winter_peak,0
27.255,28.529,47.726,119.065,7.701,74.789,77.113,61.417,2.554,6.498,8.123,2.66,summer_offpeak,0
6.208,10.484,58.953,491.688,6.934,84.867,63.801,62.541,2.633,11.13,1.444,-8.764,winter_peak,0
30.672,32.187,53.701,46.275,6.795,79.573,72.497,69.307,2.528,0.955,11.291,6.462,summer_offpeak,0
5.932,9.881,58.885,95.461,3.209,53.634,41.883,43.178,2.639,3.61,-0.432,-4.0,winter_offpeak,0
9.196,15.436,62.124,491.609,8.45,89.188,75.174,75.324,2.594,11.381,2.698,-4.48,winter_peak,0
33.207,37.279,43.33,645.157,13.683,126.077,120.226,121.109,2.541,14.778,12.219,18.562,summer_peak,0
24.585,25.995,50.285,93.501,6.701,81.401,65.372,66.669,2.577,5.318,7.581,-0.844,summer_offpeak,0
32.807,34.716,45.894,712.515,13.364,126.287,120.835,121.241,2.519,13.659,11.963,8.66,summer_peak,0
3.424,4.599,62.634,167.719,3.155,51.705,48.372,37.52,2.649,6.411,-2.388,-0.811,winter_offpeak,0
1.61,5.972,76.138,55.564,2.297,40.441,40.491,32.319,2.673,2.754,-1.382,-3.503,winter_offpeak,0
29.098,28.552,53.096,491.887,10.547,110.077,98.1,91.188,2.564,9.453,9.973,4.878,summer_peak,0
6.126,7.853,63.12,561.747,7.382,83.549,75.691,76.378,2.623,13.569,0.204,2.166,winter_peak,0
5.718,7.545,60.049,568.151,7.81,73.262,73.243,64.726,2.638,11.744,-1.866,-3.361,winter_peak,0
6.244,10.125,68.274,46.548,2.241,48.226,48.274,38.941,2.657,3.023,0.974,-3.356,winter_offpeak,0
10.51,16.99,66.525,88.663,6.84,101.789,61.133,24.417,2.459,3.987,4.624,-0.57,winter_offpeak,1
7.976,11.041,68.757,130.173,3.647,58.543,46.366,48.709,2.641,2.873,-0.072,-5.549,winter_offpeak,0
25.915,27.928,55.32,189.379,7.413,89.42,76.73,75.23,2.566,7.036,8.385,3.422,summer_offpeak,0
28.249,31.915,63.653,43.445,7.022,78.002,79.506,71.681,2.56,3.78,9.382,-0.663,summer_offpeak,0
33.026,35.957,41.435,564.909,12.285,122.423,115.622,99.62,2.545,10.381,11.375,9.707,summer_peak,0
34.555,39.606,52.027,628.7,13.877,135.055,126.832,123.358,2.51,16.062,13.698,8.901,summer_peak,0
31.171,32.77,55.573,168.988,7.824,89.836,93.875,71.548,2.546,3.322,11.606,1.916,summer_offpeak,0
6.058,9.532,70.99,94.535,2.818,48.579,34.983,44.948,2.622,4.742,-0.517,-4.152,winter_offpeak,0
6.798,10.47,74.518,144.521,3.329,58.33,56.876,44.891,2.617,6.02,1.237,-0.497,winter_offpeak,0
6.969,9.509,65.137,21.505,1.957,48.041,42.5,39.56,2.661,4.545,0.081,-3.942,winter_offpeak,0
32.139,34.952,56.346,639.582,13.389,130.218,118.529,111.768,2.544,17.067,12.285,7.634,summer_peak,0
28.132,30.816,57.759,93.199,7.098,88.874,84.197,66.825,2.554,3.419,9.933,0.542,summer_offpeak,0
34.569,39.52,45.102,661.068,14.855,140.601,124.327,118.615,2.519,15.665,12.503,6.156,summer_peak,0
32.4,34.644,54.446,512.924,11.433,123.585,107.281,100.471,2.525,11.975,12.349,2.15,summer_peak,0
34.109,35.547,48.231,554.232,12.414,125.231,106.547,97.465,2.524,14.423,12.828,2.158,summer_peak,0
29.781,32.531,52.688,142.904,7.882,95.121,88.236,72.684,2.528,4.515,10.69,4.284,summer_offpeak,0
5.945,7.581,65.179,147.705,3.586,48.955,46.147,45.357,2.669,6.179,0.451,-2.599,winter_offpeak,0
7.306,9.892,62.41,162.195,3.495,61.806,49.799,43.453,2.642,6.05,0.502,-2.803,winter_offpeak,0
11.18,13.712,65.998,97.075,4.172,64.601,52.969,50.831,2.628,4.448,1.898,-2.636,winter_offpeak,0
36.381,36.417,52.088,482.629,11.422,120.601,107.159,105.99,2.53,11.431,12.996,1.981,summer_peak,0
27.476,31.297,54.757,81.291,6.584,79.339,86.679,70.073,2.529,1.757,10.223,2.491,summer_offpeak,0
1.47,4.57,63.169,193.859,3.464,50.767,55.656,37.004,2.694,5.527,-2.821,-6.111,winter_offpeak,0
33.606,36.574,65.31,645.455,12.766,121.852,116.299,113.583,2.523,15.141,12.168,3.952,summer_peak,0
7.761,10.853,64.91,11.133,2.045,50.647,36.818,39.991,2.636,3.786,0.183,-6.079,winter_offpeak,0
7.861,10.365,61.01,149.354,3.499,64.795,50.915,44.298,2.609,3.597,-0.539,-1.585,winter_offpeak,0
31.561,35.819,46.347,629.849,13.66,128.115,119.814,105.711,2.512,12.912,12.115,2.502,summer_peak,0
32.232,33.717,54.69,506.586,12.116,113.146,107.672,99.866,2.534,10.727,10.294,5.753,summer_peak,0
33.799,36.097,55.205,665.069,13.953,141.525,113.106,113.724,2.524,15.127,10.847,10.122,summer_peak,0
32.114,36.31,54.533,572.737,13.083,119.771,122.368,108.927,2.517,13.373,12.571,5.186,summer_peak,0
6.97,10.628,67.478,180.879,3.474,54.925,49.436,47.048,2.618,8.196,0.961,1.947,winter_offpeak,0
7.179,7.772,76.076,517.881,7.607,70.572,75.875,66.867,2.649,12.279,-0.297,1.135,winter_peak,0
8.842,10.279,63.503,78.625,2.855,47.73,39.202,39.654,2.637,4.832,1.316,-5.809,winter_offpeak,0
1.161,5.341,74.559,62.382,1.386,41.529,36.15,25.721,2.666,2.375,-1.105,3.094,winter_offpeak,0
6.034,9.175,64.283,49.118,2.1,41.266,43.358,40.741,2.664,2.766,-1.134,-2.2,winter_offpeak,0
30.973,34.013,55.639,91.709,7.207,83.238,80.374,78.15,2.524,3.865,11.545,3.058,summer_offpeak,0
32.256,36.494,54.622,528.332,12.412,124.003,119.202,108.729,2.515,13.313,12.065,4.583,summer_peak,0
27.728,30.323,57.854,152.191,7.54,78.605,75.589,76.399,2.562,3.011,8.179,2.014,summer_offpeak,0
30.661,34.794,57.928,564.106,12.381,121.324,110.072,110.374,2.525,13.775,11.569,9.777,summer_peak,0
31.713,33.588,48.493,708.508,13.461,134.442,114.359,107.996,2.531,17.084,11.06,9.106,summer_peak,0
5.361,9.88,78.556,67.768,3.357,48.995,40.035,27.776,2.619,2.458,0.68,-6.136,winter_offpeak,0
