rms_mm_s,peak_g,crest_factor,kurtosis,dom_freq_orders,hf_energy_pct
2.515,2.405,2.476,3.215,6.6,26.42
0.781,0.336,3.819,2.827,1.08,9.431
4.614,1.443,4.28,3.268,2.06,13.66
3.902,0.975,3.158,3.019,1.01,9.571
7.166,1.028,3.215,3.163,1.0,9.764
6.299,0.948,3.321,3.03,0.99,9.664
7.467,4.003,8.619,8.577,2.1,34.573
1.373,0.349,2.889,3.01,1.02,6.176
3.295,1.265,4.024,3.308,1.99,10.72
1.435,0.393,2.686,4.203,0.92,7.045
5.443,0.979,3.244,3.265,1.01,10.318
3.849,2.58,5.822,6.474,4.14,44.034
1.085,0.299,2.701,3.294,0.91,7.501
3.626,1.216,3.808,3.707,1.99,15.951
1.194,0.253,2.905,3.246,1.02,9.027
3.45,1.54,3.053,3.912,2.05,17.603
4.082,0.959,3.153,3.199,0.98,10.762
1.419,0.303,2.574,3.563,1.0,12.569
5.603,1.006,3.288,3.053,0.99,11.21
1.4,0.028,3.237,2.306,1.0,2.981
4.479,1.587,4.072,3.737,2.14,14.878
2.094,0.03,6.972,13.706,4.51,13.57
4.751,1.03,3.312,3.197,1.01,7.213
4.412,2.496,6.851,7.353,5.84,36.543
3.269,1.155,4.163,3.187,1.97,17.764
6.291,0.992,3.27,3.129,0.99,8.191
2.736,1.955,6.98,8.295,5.33,59.108
5.32,1.018,3.348,3.227,1.01,11.323
1.137,0.199,2.702,2.748,1.02,6.184
6.579,3.472,6.953,10.627,6.59,12.52
5.093,1.094,4.312,3.82,1.99,11.204
3.949,1.057,3.147,3.137,1.03,11.743
4.009,1.143,6.562,10.853,5.39,29.859
3.345,1.104,4.472,3.735,2.02,16.58
4.959,0.969,3.033,3.331,2.06,10.251
1.293,0.313,3.421,2.573,0.95,8.285
4.089,1.656,8.218,8.801,3.8,62.669
1.328,0.283,2.896,2.412,1.01,5.88
1.832,0.192,2.991,3.58,1.0,5.816
5.084,1.045,3.171,3.105,1.01,10.739
4.57,3.138,5.579,7.459,3.32,38.136
